,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,국가부도의 날,,2018,한국,드라마,주연,,,,
1,단지 세상의 끝,It's Only the End of the World,2016,"캐나다,프랑스",드라마,주연,247540173.0,31497.0,248323173.0,31586.0
2,제이슨 본,Jason Bourne,2016,미국,"액션,스릴러",주연,21253434663.0,2611966.0,21253434663.0,2611966.0
3,테일 오브 테일즈,Tale of Tales,2015,"이탈리아,프랑스",판타지,주연,237098700.0,30249.0,237252700.0,30276.0
4,몽 루아,MON ROI,2015,프랑스,"멜로/로맨스,드라마",주연,43841112.0,5961.0,43857112.0,5963.0
5,소년 파르티잔,Partisan,2015,호주,"드라마,스릴러",주연,13167100.0,1862.0,13167100.0,1862.0
6,원 와일드 모먼트,One Wild Moment,2015,프랑스,코미디,주연,39192000.0,5258.0,39192000.0,5258.0
7,차일드 44,Child 44,2015,미국,스릴러,주연,168643231.0,21604.0,168643231.0,21604.0
8,미녀와 야수,Beauty And The Beast,2013,프랑스,"판타지,멜로/로맨스",주연,2385847300.0,315348.0,2393631300.0,316334.0
9,트랜스,Trance,2013,미국,"범죄,스릴러",주연-프랑크 역역,,,,
10,데인저러스 메소드,A Dangerous Method,2011,"영국,독일,캐나다,스위스","멜로/로맨스,드라마",주연-오 토 그로스역,209863509.0,27703.0,210823009.0,27835.0
11,더 몽크,The Monk,2011,"스페인,프랑스","미스터리,스릴러",주연,,,146000.0,19.0
12,블랙 스완,Black Swan,2010,미국,"드라마,스릴러",주연-토마스 르로이역,12484096000.0,1623199.0,12486540500.0,1623518.0
13,형님들의 휴가,Lascars,2009,"프랑스,독일","애니메이션,코미디",주연,,,,
14,퍼블릭 에너미 넘버원,"Mesrine: Part 1 - Killer Instinct, Public Enemy No.1",2008,"프랑스,캐나다,이탈리아","액션,범죄,드라마,스릴러",주연,26932000.0,3410.0,27526000.0,3528.0
15,메스린: 퍼블릭 에너미 넘버 원 파트 2,Mesrine: Part 2 - Public Enemy #1,2008,"프랑스,캐나다","범죄,액션",주연,,,,
16,사탄,Satan,2006,프랑스,"코미디,스릴러,공포(호러)",주연,,,,
17,디레일드,Derailed,2005,미국,"드라마,스릴러",주연,,,,
18,블루베리,Blueberry,2004,"프랑스,멕시코,영국",액션,주연,,,13000.0,2.0
19,돌이킬 수 없는,Irreversible,2002,프랑스,스릴러,주연,0.0,65419.0,763000.0,85.0
20,늑대의 후예들,Le Pacte Des Loups,2001,프랑스,"공포(호러),미스터리,액션",주연,0.0,287948.0,,
21,내 마음을 읽어 봐,Read My Lips,2001,프랑스,"범죄,드라마",주연,,,,
22,크림슨 리버,The Crimson Rivers,2000,프랑스,"드라마,스릴러",주연,0.0,213753.0,,
23,도베르만,Dobermann,1997,프랑스,"범죄,액션",주연-얀 르판 트렉 도베르만역,0.0,8102.0,,
24,라빠르망,The Apartment,1997,프랑스,"멜로/로맨스,드라마",주연-막스역,0.0,40555.0,65339500.0,10921.0
25,증오,Hate,1995,프랑스,"드라마,범죄",주연,0.0,16494.0,3011000.0,422.0
