,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,에델과 어니스트,Ethel & Ernest,2016,"영국,룩셈부르크","애니메이션,드라마",주연,82198700.0,9932.0,82383700.0,9952.0
1,클럽랜드,Clubland,2007,호주,"코미디,드라마",주연,,,,
2,온 어 클리어 데이,On A Clear Day,2005,영국,드라마,주연,,,,
3,삶의 한 방식,A Way of Life,2004,영국,드라마,주연,,,,
4,블리자드,Blizzard,2003,"미국,캐나다","가족,코미디",주연,,,,
5,소니,Sonny,2002,미국,"범죄,드라마",주연,,,,
6,슬리핑 딕셔너리,The Sleeping Dictionary,2002,미국,"멜로/로맨스,드라마",주연,,,,
7,펌프킨,Pumpkin,2002,미국,코미디,주연,,,,
8,러브리 & 어메이징,Lovely & Amazing,2001,미국,"드라마,코미디",주연,,,,
9,오! 그레이스,Saving Grace,2000,영국,코미디,주연,0.0,13116.0,,
10,비밀과 거짓말,Secrets And Lies,1996,영국,드라마,주연,0.0,45334.0,1943000.0,311.0
