,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,햄스테드,Hampstead,2017,"영국,벨기에","코미디,드라마,멜로/로맨스",주연,3454000.0,416.0,70014300.0,9064.0
1,패딩턴 2,Paddington 2,2017,"프랑스,영국","코미디,드라마",주연,2554560200.0,338899.0,2555480200.0,339014.0
2,우리를 침범하는 것들,Trespass Against Us,2016,영국,"액션,범죄,드라마",주연,38538100.0,5153.0,38553100.0,5156.0
3,어쌔신 크리드,Assassin's Creed,2016,"미국,영국,프랑스","액션,어드벤처,판타지,SF",주연,2899784921.0,355913.0,2899784921.0,355913.0
4,하트 오브 더 씨,In the Heart of the Sea,2015,미국,"액션,어드벤처,드라마",주연,6780844023.0,809827.0,6780844023.0,809827.0
5,캘버리,Calvary,2014,"아일랜드,영국","코미디,드라마",주연-제임스 라벨르역,,,634000.0,124.0
6,그랜드 시덕션,THE GRAND SEDUCTION,2013,캐나다,코미디,주연,100000.0,10.0,100000.0,10.0
7,컴퍼니 유 킵,The Company You Keep,2012,미국,스릴러,조연,13694000.0,2134.0,13925000.0,2173.0
8,더 레이븐,The Raven,2012,"미국,헝가리,스페인","스릴러,미스터리",조연,1125457000.0,153581.0,1125457000.0,153581.0
9,허당 해적단,The Pirates! Band of Misfits,2012,"미국,영국","애니메이션,어드벤처",주연,,,,
10,킬러들의 도시,In Bruges,2008,"영국,미국","범죄,드라마,스릴러",주연-켄역,394632089.0,57387.0,378294000.0,54999.0
11,호랑이 꼬리,The Tiger's Tail,2006,아일랜드,"코미디,범죄,드라마",주연,,,,
12,컨트리 오브 마이 스컬,Country Of My Skull,2003,"영국,아일랜드,남아프리카공화국",드라마,주연,,,,
13,28일 후,28 Days Later...,2002,"미국,프랑스,영국","공포(호러),스릴러",주연,0.0,65000.0,,
14,다크 블루,Dark Blue,2002,미국,"드라마,액션,스릴러,범죄",조연,,,,
15,A.I.,A.I.,2001,미국,"SF,드라마",주연,0.0,525490.0,386000.0,81.0
16,해리슨의 꽃,Harrison's Flowers,2000,프랑스,"드라마,멜로/로맨스",주연,,,,
17,플래시드,Lake Placid,1999,미국,"공포(호러),코미디,액션,스릴러",주연,0.0,54567.0,,
18,제너럴,The General,1998,영국,"범죄,드라마,스릴러",주연-마틴 카힐역,0.0,23786.0,,
