,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,킬 케인,Kill Kane,2016,영국,"액션,스릴러",주연,3000.0,1.0,3000.0,1.0
1,6 웨이 투 다이,6 Ways To Die,2015,미국,"액션,스릴러",주연,15285000.0,3057.0,16890000.0,3378.0
2,톡신,TOXIN,2015,미국,SF,주연,3000.0,1.0,3000.0,1.0
3,완벽한 사육: 인간 사냥,Awaken,2015,미국,"액션,공포(호러),스릴러",주연,1132000.0,130.0,1132000.0,130.0
4,칼큘레이터,The Calculator,2014,러시아,"액션,SF,스릴러",주연,631000.0,104.0,631000.0,104.0
5,웨이 오브 더 위키드,Way of the Wicked,2014,미국,스릴러,주연,,,270000.0,54.0
6,엠부쉬,AMBUSHED,2013,미국,,주연,,,,
7,다이아몬드 하이스트,DIAMOND HEIST,2012,헝가리,코미디,주연,5000.0,1.0,5000.0,1.0
8,뱀파이어의 습격,The Bleeding,2012,미국,"액션,공포(호러)",주연,,,,
9,블러드 아웃,Blood Out,2011,미국,"액션,범죄",주연-제드역,,,,
10,에이지 오브 더 드래곤,Age of the Dragons,2011,미국,"액션,SF,스릴러,판타지",주연-스터브 역,,,,
11,스모킹 에이스 2,Smokin' Aces 2: Assassins' Ball,2010,"미국,캐나다","액션,코미디,범죄",주연,,,,
12,컨뎀드,The Condemned,2007,미국,"액션,스릴러",주연,,,,
13,타임 어택,Slipstream,2005,미국,SF,주연,,,,
14,그들만의 월드컵,Mean Machine,2001,미국,코미디,주연,0.0,415.0,,
15,스내치,Snatch,2000,미국,"스릴러,코미디",주연,0.0,74372.0,,
