,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,에이리언: 커버넌트,Alien: Covenant,2017,"미국,호주,뉴질랜드","SF,스릴러",주연,10745826264.0,1307226.0,10745826264.0,1307226.0
1,우리의 20세기,20th Century Women,2016,미국,드라마,주연,287148600.0,35296.0,287612600.0,35360.0
2,재키,Jackie,2016,"칠레,프랑스,미국",드라마,주연,209835243.0,26758.0,209985243.0,26788.0
3,러덜리스,Rudderless,2014,미국,"코미디,드라마",주연,613113720.0,77867.0,615574220.0,78193.0
4,블러드 타이즈,Blood Ties,2013,"프랑스,미국","범죄,액션,드라마",주연,41526500.0,5828.0,41526500.0,5828.0
5,씬 아이스,Thin Ice,2011,미국,"코미디,범죄",주연-랜디 키니 역역,,,,
6,왓치맨,Watchmen,2009,미국,"액션,미스터리,판타지,SF",주연,4175166338.0,606317.0,4112826500.0,597118.0
7,프리티 버드,Pretty Bird,2008,미국,코미디,주연,,,,
8,데디케이션,Dedication,2007,미국,"코미디,멜로/로맨스",주연,,,,
9,스테이지 뷰티,Stage Beauty,2004,영국,드라마,주연,0.0,20976.0,141693000.0,21114.0
10,빅 피쉬,Big Fish,2003,미국,판타지,주연,0.0,244421.0,476625000.0,72239.0
11,세계 여행자,World Traveler,2001,"캐나다,미국",드라마,주연,,,,
12,올모스트 페이머스,Almost Famous,2000,미국,드라마,주연-러셀 하몬드역,,,,
13,웨이킹 더 데드,Waking The Dead,2000,미국,"드라마,미스터리,멜로/로맨스",주연,,,,
14,예수의 아들,Jesus' Son,1999,"미국,캐나다",드라마,주연,,,,
15,하이 로 컨츄리,The Hi-Lo Country,1998,"미국,영국,독일","드라마,멜로/로맨스,서부극(웨스턴)",주연,,,,
