,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,"베로니카, 죽기로 결심하다",Veronika Decides To Die,2009,미국,"드라마,멜로/로맨스",주연-베로니카 역,39189012.0,5477.0,38603500.0,5396.0
1,포제션 : 중독된 사랑,Possession,2008,미국,"미스터리,멜로/로맨스,스릴러",주연,18125000.0,3625.0,18125000.0,3625.0
2,내 남자는 바람둥이,Suburban Girl,2007,미국,"코미디,멜로/로맨스,드라마",주연-브렛 에이즌버그역,1383673.0,180.0,1363000.0,177.0
3,엘라의 모험 : 해피엔딩의 위기,Ella'S Adventure,2007,"독일,미국","애니메이션,코미디,가족",주연-엘라역(목소리),1791623000.0,312640.0,1789749000.0,310256.0
4,닌자거북이 TMNT,Teenage Mutant Ninja Turtles,2007,미국,"액션,코미디,어드벤처,판타지",주연,0.0,200016.0,1168946500.0,193313.0
5,그루지 2,The Grudge 2,2006,미국,공포(호러),주연-카렌역,0.0,168708.0,781766000.0,137352.0
6,더 리턴,The Return,2006,미국,"스릴러,드라마",주연,,,,
7,사우스랜드 테일,Southland Tales,2006,"미국,독일,프랑스","코미디,뮤지컬,SF,스릴러",주연,,,,
8,그루지,The Grudge,2004,일본,공포(호러),주연,0.0,601342.0,3412668000.0,553014.0
9,스쿠비-두2 : 몬스터 대소동,Scooby-Doo 2: Monsters Unleashed,2004,미국,코미디,주연,0.0,65610.0,118785500.0,18954.0
10,스쿠비 두,Scooby Doo,2002,미국,코미디,주연,0.0,67300.0,,
11,하바드 맨,Harvard Man,2001,미국,"코미디,범죄,드라마",주연,,,,
12,러브 이즈 매직,Simply Irresistible,1999,"미국,독일","코미디,드라마,판타지",주연,,,,
13,사랑보다 아름다운 유혹,Cruel Intentions,1998,미국,"멜로/로맨스,스릴러",주연,0.0,82843.0,,
14,스크림 2,Scream 2,1997,미국,"공포(호러),미스터리,스릴러,코미디",주연-캐시 시시 쿠퍼역,0.0,174385.0,,
