,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인크레더블 2,INCREDIBLES 2,2018,미국,"애니메이션,액션,어드벤처,코미디,가족",주연(목소리),,,24384965988.0,3011816.0
1,어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",주연,99825741869.0,11202737.0,99918419769.0,11211798.0
2,킬러의 보디가드,The Hitman's Bodyguard,2017,미국,"액션,코미디",주연-다리우스 킨케이드역,14020395800.0,1721757.0,14020488300.0,1721772.0
3,콩: 스컬 아일랜드,Kong: Skull Island,2017,미국,"액션,어드벤처,판타지",주연,13990563383.0,1689717.0,13990563383.0,1689717.0
4,아이 엠 낫 유어 니그로,I Am Not Your Negro,2016,"프랑스,미국,벨기에,스위스",다큐멘터리,주연(목소리),12869700.0,1745.0,12869700.0,1745.0
5,트리플 엑스 리턴즈,xXx: Return of Xander Cage,2016,미국,"액션,어드벤처,스릴러",주연-오거스터스 기븐스 역역,3967335095.0,475309.0,3967335095.0,475309.0
6,미스 페레그린과 이상한 아이들의 집,Miss Peregrine's Home For Peculiar Children,2016,"미국,벨기에,영국","미스터리,판타지",주연,21841214586.0,2718158.0,21841214586.0,2718158.0
7,레전드 오브 타잔,The Legend of Tarzan,2016,미국,"액션,어드벤처",주연,7196970717.0,858402.0,7196970717.0,858402.0
8,셀,Cell,2016,미국,"공포(호러),SF,스릴러",주연,45255600.0,5617.0,45255600.0,5617.0
9,헤이트풀8,The Hateful Eight,2015,미국,"액션,스릴러,서부극(웨스턴)",주연,1004048400.0,121278.0,1004847900.0,121400.0
10,빅 게임,Big Game,2015,"핀란드,영국,독일","액션,어드벤처",주연,270000.0,54.0,270000.0,54.0
11,킬러 인 하이스쿨,Barely Lethal,2015,미국,"액션,어드벤처,코미디",주연,,,,
12,카이트,Kite,2014,미국,"범죄,액션",주연,66844000.0,11287.0,66844000.0,11287.0
13,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,2014,미국,"액션,어드벤처,판타지,SF",주연,88582586366.0,10494499.0,88582586366.0,10494499.0
14,킹스맨 : 시크릿 에이전트,Kingsman: The Secret Service,2014,"미국,영국","액션,스릴러",주연,50369009795.0,6129681.0,50369009795.0,6129681.0
15,캡틴 아메리카: 윈터 솔져,Captain America: The Winter Soldier,2014,미국,"액션,어드벤처,SF",주연,31710585385.0,3963220.0,31711040385.0,3963251.0
16,리저너블 다우트,Reasonable Doubt,2013,독일,"범죄,스릴러",주연,9510500.0,1435.0,9510500.0,1435.0
17,로보캅,RoboCop,2013,미국,"액션,SF",주연,7299641958.0,979509.0,7299641958.0,979509.0
18,올드보이,Oldboy,2013,미국,"액션,스릴러",주연,56281683.0,7471.0,60248683.0,7979.0
19,터보,Turbo,2012,미국,애니메이션,주연-위플래쉬역(목소리),13113579000.0,1923748.0,13121226000.0,1925154.0
20,장고:분노의 추적자,Django Unchained,2012,미국,"서부극(웨스턴),드라마",주연,1883634000.0,260144.0,1885583000.0,260405.0
21,잠베지아: 신비한 나무섬의 비밀,Zambezia,2012,"남아프리카공화국,미국",애니메이션,주연-텐다이역(목소리),3333947000.0,472692.0,3333947000.0,472692.0
22,미팅 이블,Meeting Evil,2012,미국,"드라마,범죄",주연-리치역,,,,
23,아레나 : 더 파이터,Arena,2011,미국,"액션,스릴러",주연-로건 역,,,,
24,아프리칸 캣츠,African Cats,2011,미국,"다큐멘터리,어드벤처",주연-내레이션 역,,,,
25,언싱커블,Unthinkable,2010,미국,"드라마,스릴러",주연,344000.0,43.0,344000.0,43.0
26,마더 앤 차일드,Mother and Child,2009,미국,드라마,주연-폴역,64875500.0,8339.0,64875500.0,8339.0
27,레이크뷰 테라스,Lakeview Terrace,2008,미국,"스릴러,드라마",주연,,,,
28,소울 멘,Soul Men,2008,미국,코미디,주연,,,,
29,스피릿,The Spirit,2008,미국,"액션,드라마",주연,,,,
30,더 챔프: 분노의 주먹,Resurrecting The Champ,2007,미국,드라마,주연,270000.0,54.0,270000.0,54.0
31,1408,1408,2007,미국,"공포(호러),스릴러",주연,0.0,265227.0,1641210000.0,252878.0
32,클리너,Cleaner,2007,미국,"범죄,스릴러",주연,,,,
33,스네이크 온 어 플레인,Snakes on a plane,2006,미국,"공포(호러),스릴러",주연-넬빌 플린역,0.0,0.0,,
34,프리덤랜드,Freedomland,2006,미국,"스릴러,드라마,범죄",주연-로렌조 카운실역,0.0,503.0,3379500.0,483.0
35,사무엘 잭슨의 블랙 스네이크,Black Snake Moan,2006,미국,드라마,주연,,,,
36,펭귄들의 익살극,Farce of the Penguins,2006,미국,코미디,주연(목소리),,,,
37,홈 오브 더 브레이브,Home Of The Brave,2006,"미국,모로코","액션,전쟁,드라마",주연,,,,
38,코치 카터,Coach Carter,2005,미국,드라마,주연,0.0,80000.0,404740500.0,65123.0
39,트리플 X2 : 넥스트 레벨,Xxx: State Of The Union,2005,미국,"범죄,액션,스릴러,어드벤처",주연,0.0,540056.0,2951349000.0,465276.0
40,더 맨,The Man,2005,미국,"액션,코미디,범죄",주연,,,,
41,블랙아웃,Twisted,2004,독일,스릴러,주연,0.0,121366.0,789750000.0,123686.0
42,인크레더블,The Incredibles,2004,미국,애니메이션,주연,0.0,1155067.0,5612536500.0,898773.0
43,베이직,Basic,2003,미국,액션,주연,0.0,49900.0,74752500.0,11646.0
44,S.W.A.T. 특수기동대,S.W.A.T.,2003,미국,"액션,범죄",주연,0.0,669835.0,,
45,컨트리 오브 마이 스컬,Country Of My Skull,2003,"영국,아일랜드,남아프리카공화국",드라마,주연,,,,
46,체인징 레인스,Changing Lanes,2002,미국,드라마,주연,0.0,68520.0,,
47,트리플 엑스,Xxx,2002,미국,액션,주연,0.0,483302.0,16000.0,2.0
48,노 굿 디드,No Good Deed,2002,"독일,미국","범죄,스릴러,드라마",주연-잭 프리어 경찰역,,,,
