,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,가시,Innocent Thing,2013,한국,"멜로/로맨스,드라마",주연-서연역,1095301000.0,142170.0,1095301000.0,142170.0
1,가족시네마,Modern Family,2012,한국,드라마,주연-인아역,19453000.0,2639.0,19453000.0,2639.0
2,E.D. 571,E.D. 571,2012,한국,드라마,주연,,,,
3,평양성,Battlefield Heroes,2010,한국,"전쟁,코미디,드라마",주연-갑순역,12684530500.0,1717566.0,12684530500.0,1717566.0
4,전우치,Woochi,2009,한국,"액션,코미디,판타지",주연,44605437017.0,6136928.0,44093407200.0,6065474.0
5,거북이 달린다,Running Turtle,2009,한국,"드라마,액션,범죄",주연-경주역,20857347292.0,3059812.0,20618276000.0,3024666.0
6,하늘을 걷는 소년,Da Capo,2008,한국,드라마,조연,591500.0,103.0,606500.0,106.0
7,당신이 잠든 사이에,While You Were Sleeping,2008,한국,"스릴러,드라마",주연,,,,
8,마이 뉴 파트너,My New Partner,2007,한국,"액션,코미디",조연-유리역,1696902333.0,265323.0,1699031500.0,260734.0
9,슈퍼맨이었던 사나이,A Man Who Was Superman,2007,한국,"드라마,코미디",조연-김 작가역,3688309333.0,559705.0,3642192500.0,550284.0
10,어린 왕자,The Little Prince,2007,한국,드라마,단역-격납고 여역,493292500.0,84015.0,493278500.0,83354.0
11,오프 로드,Off Road,2007,한국,드라마,주연-창녀 지수역,0.0,561.0,3108000.0,517.0
12,"달콤, 살벌한 연인",My Scary Girl,2006,한국,"스릴러,멜로/로맨스",조연-정화역,0.0,2286745.0,13426707100.0,2077590.0
13,조폭마누라2-돌아온 전설,My Wife Is A Gangster 2,2003,한국,액션,단역-중국 조직원 1역,,1858077.0,36000.0,9.0
