,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,이스마엘,Ismael,2013,스페인,드라마,조연,6000.0,1.0,6000.0,1.0
1,탱고 위드 미,Tango libre,2012,"벨기에,프랑스,룩셈부르크",드라마,주연-페르낭역,15718500.0,2350.0,15746500.0,2357.0
2,여자가 사랑할때,Leaving,2009,프랑스,드라마,주연,1602000.0,172.0,1602000.0,172.0
3,센티미엔토: 사랑의 감각,Map Of The Sounds Of Tokyo,2009,스페인,"드라마,스릴러",주연-데이빗역,3948000.0,524.0,3948000.0,524.0
4,리키,Ricky,2009,"프랑스,이탈리아","코미디,판타지,미스터리,멜로/로맨스",주연-파코역,38680804.0,5102.0,38078500.0,5022.0
5,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,2006,"스페인,멕시코","드라마,판타지,전쟁",조연-캐피탄 비달역,0.0,532097.0,2789439848.0,472157.0
6,자니스와 존,Janis And John,2003,"프랑스,스페인",코미디,주연,,,,
7,더티 프리티 씽,Dirty Pretty Things,2002,영국,"드라마,스릴러",주연,,,,
8,여자들… 혹은 아이들 먼저…,Women or Children First,2002,"프랑스,스페인",드라마,주연,0.0,0.0,,
9,통행증,Laissez-Passer,2002,프랑스,"전쟁,드라마",주연,0.0,0.0,,
10,해피맨,Happy Men,2001,"스페인,프랑스","코미디,멜로/로맨스",주연,,,,
11,당신의 영원한 친구 해리,"Harry, He's Here to Help",2000,프랑스,코미디,주연,,,,
12,포르노 그래픽 어페어,An Affair Of Love,1999,"프랑스,벨기에,스위스,룩셈부르크","멜로/로맨스,드라마",주연-그녀역,0.0,16116.0,1442000.0,189.0
13,당신의 다리 사이,Between Your Legs,1999,스페인,"미스터리,스릴러",주연,0.0,10280.0,,
14,웨스턴,Western,1996,프랑스,코미디,주연,0.0,2937.0,,
