,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,2018,일본,"애니메이션,SF,어드벤처",조연-비실이 (일본어 목소리)역(목소리),,,508127400.0,65990.0
1,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,Yo-Kai watch the movie 2,2016,일본,애니메이션,주연,2466913080.0,330665.0,2467275080.0,330725.0
2,사이코패스,PSYCHO-PASS,2015,일본,"애니메이션,판타지,스릴러,범죄,SF",주연(목소리),191148000.0,23586.0,191148000.0,23586.0
3,드래곤 포스 극장판,DRAGON FORCE THE MOVIE,2014,"미국,일본","애니메이션,액션,어드벤처",주연(목소리),40387700.0,5256.0,40387700.0,5256.0
4,극장판 슈타인즈 게이트: 부하영역의 데자뷰,Steins Gate: Fuka Ryoiki No deja vu,2012,일본,애니메이션,주연-하시다 이타루 (목소리)역(목소리),34586500.0,4726.0,34586500.0,4726.0
5,극장판 전국 바사라,Sengoku BASARA Samurai Kings the Movie,2011,일본,"애니메이션,액션",주연-이시다 미츠나리 역(목소리),58000.0,10.0,1768000.0,352.0
6,풀 메탈 패닉 Vol. 1,Full Metal Panic!,2002,일본,애니메이션,주연(목소리),,,,
7,풀 메탈 패닉 Vol. 2,Full Metal Panic!,2002,일본,애니메이션,주연(목소리),,,,
8,풀 메탈 패닉 Vol. 3,Full Metal Panic!,2002,일본,애니메이션,주연(목소리),,,,
9,풀 메탈 패닉 Vol. 4,Full Metal Panic!,2002,일본,애니메이션,주연(목소리),,,,
10,풀 메탈 패닉 Vol. 5,Full Metal Panic!,2002,일본,애니메이션,주연,,,,
11,풀 메탈 패닉 Vol. 6,Full Metal Panic!,2002,일본,애니메이션,주연(목소리),,,,
12,천공의 에스카플로네: 극장판,Escaflowne: The Movie,2000,일본,애니메이션,주연,,,,
13,카드캡터 체리,Cardcaptor Sakura,1999,일본,"애니메이션,어드벤처,판타지",주연(목소리),,,,
14,엑스,X,1996,일본,애니메이션,주연,,,,
