,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,구세주: 리턴즈,,2017,한국,코미디,조연,45622000.0,6151.0,45622000.0,6151.0
1,션샤인 러브,Sunshine Love,2015,한국,"판타지,멜로/로맨스,코미디",주연,7069800.0,896.0,7069800.0,896.0
2,들꽃,Wild Flowers,2014,한국,드라마,조연,7306300.0,965.0,8254700.0,1295.0
3,"자, 이제 댄스타임",Let’s Dance,2013,한국,다큐멘터리,주연,7280000.0,1088.0,8058500.0,1351.0
4,미스체인지,Mischange,2013,한국,코미디,주연-이제칠역,42659500.0,6054.0,42659500.0,6054.0
5,청춘정담,Believe Me,2012,한국,"멜로/로맨스,코미디",주연,3176500.0,484.0,3176500.0,484.0
6,개똥이,Over and Over Again,2012,한국,드라마,주연-개똥역,4914000.0,679.0,5218000.0,831.0
7,내일,Routine,2012,한국,"드라마,가족,기타",주연-박성진역,,,,
8,슈퍼스타,Super Star,2011,한국,"코미디,드라마",주연-진수역,11269400.0,1570.0,11304400.0,1575.0
9,더블 클러치,Double Clutch,2011,한국,코미디,주연-장근역,,,,
10,상쾌한 대미를 위한 그녀와 나만의 질의응답,I Didn’t Know You Were That Cool.,2011,한국,"드라마,멜로/로맨스",주연-동호역,,,,
11,창경원,Changgyeong Park,2011,한국,"드라마,가족,기타",주연,,,,
12,피를 파는 사나이,The Blood Seller,2011,한국,"판타지,드라마",주연-태수역,,,,
13,상식적 만남,A Casual Encounter,2010,한국,드라마,주연-태훈역,,,,
14,유령들,Spiritless,2010,한국,드라마,주연-완준역,,,,
15,조우,Encounter,2010,한국,드라마,주연,,,,
16,REC 알이씨,REC,2009,한국,멜로/로맨스,"주연,기타-캠코더 촬영",22284700.0,2799.0,22284700.0,2799.0
17,낮술,Daytime Drinking,2008,한국,"코미디,드라마",주연-혁진역,172351722.0,24595.0,178040600.0,25409.0
18,고기 도시,Meatopia,2008,한국,"드라마,공포(호러)",주연,,,,
