,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,7년의 밤,Seven Years of Night,2018,한국,"스릴러,드라마",주연-안승환역,3969375524.0,528014.0,3969337524.0,528007.0
1,굿바이 마이 파더,,2018,한국,"드라마,코미디",주연,,,,
2,진범,,2018,한국,스릴러,주연,,,,
3,도리화가,THE SOUND OF A FLOWER,2015,한국,"사극,드라마",주연,2246950339.0,317505.0,2246950339.0,317505.0
4,덕수리 5형제,A Dynamite Family,2014,한국,"코미디,스릴러",주연,1590807200.0,210777.0,1590807200.0,210777.0
5,도희야,A Girl at My Door,2014,한국,드라마,주연,830948100.0,106511.0,831731100.0,106658.0
6,내 연애의 기억,My Ordinary Love Story,2013,한국,"멜로/로맨스,코미디",주연,358863117.0,46775.0,358863117.0,46775.0
7,조선미녀삼총사,The Huntresses,2013,한국,"코미디,액션,사극",단역-송포졸역,3471341321.0,480361.0,3471341321.0,480361.0
8,아부의 왕,Mr. Xxx-Kisser,2012,한국,코미디,주연-동식역,3511102500.0,497880.0,3511102500.0,497880.0
9,인류멸망 보고서,Doomsday Book,2011,한국,SF,주연,704635000.0,97916.0,704635000.0,97916.0
10,7광구,Sector 7,2011,한국,"SF,액션,스릴러",주연,19391653500.0,2242510.0,19391653500.0,2242510.0
11,위험한 상견례,Meet the In-Laws,2011,한국,"코미디,멜로/로맨스",주연,19174920500.0,2595625.0,19174920500.0,2595625.0
12,평범한 날들,Ordinary Days,2010,한국,드라마,주연,10111400.0,1327.0,10687400.0,1423.0
13,시라노; 연애조작단,Cyrano Agency,2010,한국,"멜로/로맨스,코미디",조연-현곤역,20171151599.0,2731828.0,19838443000.0,2684798.0
14,해결사,Troubleshooter,2010,한국,"액션,스릴러",조연,14063913437.0,1873327.0,13844624000.0,1843404.0
15,방자전,The Servant,2010,한국,"사극,코미디,멜로/로맨스",조연-변학도역,22853629794.0,3035116.0,22490392000.0,2985556.0
16,BETWEEN,BETWEEN,2010,한국,드라마,주연,,,,
17,마더,Mother,2009,한국,드라마,조연-세팍타크로 형사역,20195373838.0,3013523.0,19971510600.0,2979805.0
18,고백,Confession,2005,한국,드라마,주연,,,,
