,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,신을 믿습니까?,Do You Believe?,2015,미국,드라마,주연,51956900.0,7317.0,53228900.0,7529.0
1,캐빈 피버: 페이션트 제로,Cabin Fever: Patient Zero,2014,미국,"공포(호러),SF,스릴러",주연,270000.0,54.0,270000.0,54.0
2,맘스 나이트 아웃,Moms' Night Out,2014,미국,코미디,주연,,,,
3,오즈의 마법사: 그레이트 매직,The Witches of Oz,2011,미국,"판타지,액션,코미디",주연,,,,
4,오즈의 마법사: 마법 원정대,The Witches of Oz,2011,미국,"판타지,코미디,액션",주연,,,,
5,컬러 오브 매직,The Color of Magic,2008,영국,"어드벤처,코미디,판타지",주연-투플라워 역역,,,,
6,스마일,Smile,2005,미국,"드라마,어드벤처",주연,,,,
7,타임 어택,Slipstream,2005,미국,SF,주연,,,,
8,반지의 제왕 : 왕의 귀환 (확장판),The Lord of the Rings: The Return of the King,2003,"뉴질랜드,미국","판타지,어드벤처,액션",주연-샘 역역,370268000.0,30349.0,370268000.0,30349.0
9,반지의 제왕 : 두개의 탑 (확장판),The Lord Of The Rings : The Two Towers,2002,"뉴질랜드,미국","판타지,어드벤처,액션",주연-샘 역역,350183800.0,27440.0,350183800.0,27440.0
10,반지의 제왕 : 반지원정대 (확장판),The Lord Of The Rings : The Fellowship Of The Rings,2001,"뉴질랜드,미국","판타지,어드벤처,액션",주연-샘 역역,470027900.0,35758.0,470027900.0,35758.0
11,아이스브레이커,Icebreaker,1999,미국,액션,주연,,,,
12,흔들리는 영웅,Where The Day Takes You,1992,미국,드라마,주연,0.0,124.0,,
13,원시 틴에이저,California Man,1992,미국,"코미디,판타지",주연,0.0,27393.0,,
14,캠퍼스 군단,Toy Soldiers,1991,미국,"드라마,액션,스릴러",주연,0.0,193099.0,,
15,구니스,The Goonies,1985,미국,"어드벤처,코미디,가족,스릴러",주연,0.0,337866.0,,
