,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,강력 범죄,Dark Power,2013,미국,"액션,스릴러",주연,1114000.0,130.0,1114000.0,130.0
1,분닥 세인트 2,The Boondock Saints II: All Saints Day,2009,미국,"범죄,액션",주연-코너역,,,,
2,마스터즈 오브 호러 시즌 2,Masters of Horror,2007,"캐나다,미국,일본","공포(호러),스릴러",주연,,,,
3,보더라인,Borderline,2002,"미국,독일","범죄,스릴러",주연,,,,
4,스톤 콜드 3,Stone Cold 3,2002,"캐나다,미국","액션,어드벤처",주연,,,,
5,콘 익스프레스,Con Express,2002,미국,액션,주연,,,,
6,키스 더 브라이드,Kiss The Bride,2002,미국,"코미디,드라마,멜로/로맨스",주연,,,,
7,바디 샷,Body Shots,1999,미국,드라마,주연-릭 해밀턴역,0.0,209.0,,
8,분닥세인트,The boondock saints,1999,미국,"액션,범죄",주연-코너 맥마너스역,0.0,19392.0,,
9,러브 이즈 매직,Simply Irresistible,1999,"미국,독일","코미디,드라마,판타지",주연,,,,
10,걸,Girl,1998,미국,"코미디,드라마",주연,,,,
11,수어싸이드킹,Suicide Kings,1997,미국,"코미디,드라마,스릴러,미스터리,범죄",조연,0.0,5023.0,,
