,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미녀와 야수,Beauty and the Beast,2017,미국,"멜로/로맨스,판타지,뮤지컬",주연,42132589579.0,5138193.0,42133751579.0,5138328.0
1,칠드런 액트,The Children Act,2017,영국,드라마,주연,,,,
2,파이널 포트레이트,Final Portrait,2017,영국,드라마,감독,,,,
3,와일드 카드,Wild Card,2014,미국,"범죄,액션",주연,23712000.0,3109.0,23712000.0,3109.0
4,트랜스포머: 사라진 시대,Transformers : Age of Extinction,2014,미국,"액션,SF,어드벤처",주연,44012272845.0,5295801.0,44012752845.0,5295836.0
5,천재 강아지 미스터 피바디,Mr. Peabody & Sherman,2014,미국,"애니메이션,어드벤처,가족",주연(목소리),2859791400.0,385552.0,2859791400.0,385552.0
6,어느 창녀의 하루,Some Velvet Morning,2013,미국,드라마,주연,270000.0,54.0,270000.0,54.0
7,잭 더 자이언트 킬러,JACK THE GIANT SLAYER,2013,미국,"판타지,드라마,어드벤처",주연,7376481000.0,956154.0,7376481000.0,956154.0
8,제5계급,The Fifth Estate,2013,미국,드라마,조연,,,,
9,"마진 콜: 24시간, 조작된 진실",Margin Call,2011,미국,"스릴러,드라마",주연,50342500.0,7019.0,50779500.0,7086.0
10,이지 A,Easy A,2010,미국,"코미디,멜로/로맨스",조연-딜 펜더해스트역,,,,
11,사랑은 음악처럼,Four Last Songs,2007,"스페인,영국","드라마,코미디",주연,432000.0,69.0,432000.0,69.0
12,스핀,Spin,2003,미국,"드라마,가족",주연,,,,
13,죠 굴드의 비밀,Joe Gould's Secret,2000,미국,드라마,"감독,주연",,,,
14,몬타나,Montana,1998,미국,"액션,코미디,범죄",주연,,,,
15,알라미스트,The Alarmist,1998,미국,코미디,주연,,,,
16,임포스터,The Impostors,1998,미국,코미디,"감독,주연",,,,
17,빅 나이트,Big Night,1996,미국,드라마,"감독,주연",0.0,775.0,196000.0,28.0
