,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,2018,미국,뮤지컬,주연,,,10405491188.0,1218382.0
1,보리 vs 매켄로,Borg/McEnroe,2017,"스웨덴,덴마크,핀란드",드라마,주연,78940433.0,9215.0,78940433.0,9215.0
2,겨울왕국의 무민,Moomins and the Winter Wonderland,2017,"핀란드,폴란드","애니메이션,가족",주연-무민 파파 목소리역(목소리),132230500.0,24665.0,132193500.0,24658.0
3,트레이터,Our Kind of Traitor,2016,영국,"범죄,스릴러",주연,15514500.0,2036.0,15514500.0,2036.0
4,꾸뻬씨의 행복여행,Hector and the Search for Happiness,2014,"영국,독일,캐나다,남아프리카공화국","어드벤처,드라마",주연,919851783.0,125179.0,925554283.0,125949.0
5,님포매니악 감독판 볼룸 1&2,Nymphomaniac Director’s Cut Vol. 1&2,2014,"덴마크,벨기에,프랑스,영국",드라마,주연,,,1183400.0,180.0
6,사라짐의 순서,In Order of Disappearance,2014,노르웨이,"액션,코미디,범죄,스릴러",주연,,,866000.0,163.0
7,님포매니악 볼륨2,Nymphomaniac vol.2,2013,"덴마크,벨기에,프랑스,독일,영국","드라마,미스터리",주연,201869933.0,24380.0,202108933.0,24424.0
8,님포매니악 볼륨1,Nymphomaniac vol.1,2013,"덴마크,독일,프랑스,벨기에,영국",드라마,주연,479242383.0,60265.0,479491383.0,60311.0
9,토르: 다크 월드,Thor: The Dark World,2013,미국,"액션,어드벤처,판타지",주연-에릭 셀비그역,22525808500.0,3039889.0,22525808500.0,3039889.0
10,토르: 천둥의 신,Thor,2011,미국,"액션,어드벤처,판타지",주연,15985407000.0,1694529.0,15985737000.0,1694562.0
11,워즈,Waz,2007,영국,"범죄,드라마,공포(호러)",주연,,,,
12,고야의 유령,Goya's Ghosts,2006,스페인,드라마,주연-프란시스코 고야역,30117500.0,4511.0,30755000.0,4591.0
13,엑소시스트 5 - 오리지널 프리퀄,Dominion: Prequel To The Exorcist,2005,미국,"공포(호러),스릴러",주연,,,,
14,킹덤 오브 헤븐 2,Beowulf & Grendel,2005,"아이슬란드,캐나다,영국","드라마,판타지",주연-흐로스가역,,,,
15,엑소시스트: 더 비기닝,Exorcist: The Beginning,2004,미국,공포(호러),주연,0.0,145300.0,506528500.0,77126.0
16,노 굿 디드,No Good Deed,2002,"독일,미국","범죄,스릴러,드라마",조연-타이론역,,,,
17,글래스하우스,THE GLASS HOUSE,2001,미국,"스릴러,액션",주연,0.0,1261.0,,
18,테이킹 사이즈,Taking Sides,2001,"오스트리아 ,프랑스,독일,영국",드라마,주연,,,,
19,패션 오브 마인드,Passion Of Mind,2000,미국,"미스터리,드라마",주연-윌리엄 그랜더역,0.0,2956.0,,
20,징후와 불안,Signs & Wonders,2000,프랑스,드라마,주연,,,,
21,타임코드,Timecode,2000,미국,드라마,주연,,,,
22,세이비어,Savior,1998,미국,"드라마,전쟁",주연,0.0,7765.0,,
23,불면증,Insomnia,1997,노르웨이,"범죄,드라마,미스터리",주연,,,,
24,브레이킹 더 웨이브,Breaking The Waves,1996,"덴마크,아이슬란드,프랑스,노르웨이,스웨덴","드라마,뮤지컬",주연,0.0,40737.0,1258000.0,151.0
25,테러리스트,The Democratic Terrorist,1992,"독일,스웨덴","액션,스릴러",주연-칼 해밀턴 역역,,,,
