,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,혹성탈출: 종의 전쟁,WAR FOR THE PLANET OF THE APES,2017,미국,"액션,어드벤처,드라마,SF",주연,16854482778.0,2051315.0,16854482778.0,2051315.0
1,마법의 제왕,Knights of Badassdom,2013,미국,"코미디,공포(호러),판타지",주연,5000.0,1.0,5000.0,1.0
2,윔피 키드 3 : 도그 데이즈,Diary of a Wimpy Kid: Dog Days,2012,"미국,캐나다","코미디,가족",조연-프랭크 역,,,,
3,윔피 키드,Diary of a Wimpy Kid,2010,미국,"코미디,가족",조연-프랭크 역,,,,
4,퍼펙트 겟어웨이,A Perfect Getaway,2009,미국,"스릴러,어드벤처,공포(호러)",주연-클리프역,2343962833.0,315888.0,2303965000.0,310779.0
5,도니도니 삼형제와 아기늑대 침투작전,Unstable Fables 3 Pigs and a Baby,2008,미국,"애니메이션,코미디,가족",주연,537000.0,100.0,537000.0,100.0
6,러브 매니지먼트,Management,2008,미국,"멜로/로맨스,코미디",주연,79627703.0,10393.0,78090500.0,10230.0
7,스트레인지 와일더니스,Strange Wilderness,2008,미국,코미디,주연,,,,
8,레스큐 던,Rescue Dawn,2006,미국,"액션,어드벤처,드라마,전쟁",주연,,,,
9,임플로이 오브 더 먼스,Employee Of The Month,2004,미국,"코미디,드라마",주연-잭역,,,,
10,내쇼날 시큐리티,National Security,2003,미국,"액션,코미디",주연,0.0,87064.0,,
11,캔디 케인,Joy Ride,2001,미국,스릴러,주연,0.0,9544.0,,
12,라이딩 위드 보이즈,Riding In Cars With Boys,2001,미국,드라마,주연,0.0,8263.0,,
13,악마같은 여자,Evil Woman,2001,미국,코미디,주연,0.0,4075.0,,
14,체인 오브 풀스,Chain Of Fools,2000,미국,"코미디,범죄",주연,,,,
15,해피 텍사스,"Happy, Texas",1999,미국,코미디,주연-웨인 역,,,,
16,서버비아,SubUrbia,1996,미국,코미디,주연,,,,
