,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,빌리 진 킹: 세기의 대결,Battle Of The Sexes,2017,"미국,영국",코미디,주연,159850000.0,20138.0,159850000.0,20138.0
1,슈퍼배드 3,Despicable Me 3,2017,미국,애니메이션,주연(목소리),24216987019.0,3324861.0,24217091019.0,3324874.0
2,카페 소사이어티,Cafe Society,2016,미국,"멜로/로맨스,드라마",주연,1047223666.0,126439.0,1048530166.0,126621.0
3,로렐,Laurel,2015,미국,"드라마,멜로/로맨스",주연,62368400.0,8289.0,64499400.0,8509.0
4,빅쇼트,The Big Short,2015,미국,드라마,주연,3622268707.0,446664.0,3626567707.0,447220.0
5,폭스캐처,Foxcatcher,2014,미국,"드라마,스릴러",주연,203263521.0,25618.0,207764621.0,26199.0
6,난 지구 반대편 나라로 가버릴테야,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,미국,"코미디,가족",주연-벤역,,,,
7,슈퍼배드 2,Despicable Me 2,2013,미국,애니메이션,주연(목소리),6605668500.0,962865.0,6611503500.0,963763.0
8,"더 웨이, 웨이 백","The Way, Way Back",2013,미국,"코미디,드라마",주연-트렌트역,,,,
9,앵커맨: 더 레전드 컨티뉴,Anchorman 2: The Legend Continues,2013,미국,코미디,주연-브릭 탐랜드역,,,,
10,인크레더블 버트 원더스톤,The Incredible Burt Wonderstone,2013,미국,코미디,주연-버트 원더스톤 역역,,,,
11,세상의 끝까지 21일,Seeking a Friend for the End of the World,2012,미국,"드라마,코미디,멜로/로맨스",주연-도지역,147141500.0,19897.0,147134500.0,19896.0
12,호프 스프링즈,Hope Springs,2012,미국,"멜로/로맨스,코미디",주연,388432500.0,55273.0,388432500.0,55273.0
13,크레이지 스투피드 러브,Crazy Stupid Love,2011,미국,"코미디,멜로/로맨스,드라마",주연,,,,
14,슈퍼 배드,Despicable Me,2010,미국,"애니메이션,가족",주연-그루역(목소리),9873975412.0,1043904.0,9717463000.0,1027050.0
15,브로큰 데이트,Date Night,2010,미국,"멜로/로맨스,액션,코미디",주연,,,,
16,디너게임,Dinner for Schmucks,2010,미국,코미디,주연,,,,
17,겟 스마트,Get Smart,2008,미국,"범죄,액션,코미디",주연,1152676500.0,176852.0,1149843500.0,175390.0
18,호튼,Horton Hears A Who!,2008,미국,"애니메이션,어드벤처,가족",주연(목소리),3802813334.0,638598.0,3801884000.0,635579.0
19,댄 인 러브,Dan In Real Life,2007,미국,"코미디,드라마,멜로/로맨스",주연-댄 번스역,1151134167.0,179680.0,1149348500.0,175417.0
20,에반 올마이티,Evan Almighty,2007,미국,"코미디,판타지",주연,0.0,262291.0,1487273600.0,236687.0
21,40살까지 못해본 사람,The 40 Year-Old Virgin,2005,미국,"코미디,멜로/로맨스,드라마",주연,0.0,58800.0,325572000.0,50339.0
22,오피스,The Office,2005,미국,"코미디,드라마",주연,,,,
