,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,시실리 : 피의 전쟁,Sins Expiation,2012,미국,스릴러,주연,5612000.0,1164.0,5612000.0,1164.0
1,러브 드라이브,Driving by Braille,2011,미국,드라마,조연-루돌프 역역,,,,
2,스페셜 OPS,Disarmed,2010,미국,액션,주연-케인 역역,,,,
3,플래닛 랩터,Planet Raptor,2007,미국,"액션,판타지",주연,,,,
4,핏 파이터,Pit Fighter,2005,미국,액션,주연,,,,
5,트래픽,Traffic,2000,"독일,미국","드라마,범죄",주연,0.0,223308.0,,
6,레인 섹스,Warm Texas Rain,2000,미국,"드라마,스릴러",주연-러쉬 역역,,,,
7,보스,Boss of Bosses,1999,미국,범죄,주연,,,,
8,베르사체 살인 사건,The Versace Murder,1998,미국,"범죄,드라마",주연,,,,
9,싸일랜서,Codename : Silencer,1995,미국,"스릴러,액션",주연,0.0,297.0,,
10,와일드 게임,Wild Side,1995,미국,"성인물(에로),스릴러,액션",주연,0.0,901.0,,
11,스트레인저,Strainger By Night,1994,미국,"스릴러,액션",주연,0.0,1794.0,,
12,위험한 증거,Improper Conduct,1994,미국,"스릴러,액션",주연,0.0,1469.0,,
13,스타퀘스트,Starquest / Terminal Voyage,1994,미국,SF,주연,,,,
14,스냅 드래곤,Snapdragon,1993,미국,드라마,주연,0.0,4367.0,,
15,끝 없는 도주,Sweet Poison,1991,미국,스릴러,주연,,,,
16,씨프 하트,Thife Of Hearts,1984,미국,드라마,주연,0.0,173626.0,,
17,스카페이스,Scarface,1983,미국,"드라마,액션",주연,0.0,250746.0,3189000.0,578.0
