,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,세일즈맨의 전설,China Salesman,2017.0,중국,"액션,드라마,전쟁",주연,,,,
1,퍼펙트 웨폰,The Perfect Weapon,2016.0,미국,"액션,SF",주연,100000.0,20.0,100000.0,20.0
2,스나이퍼: 특수작전부대,Sniper: Special Ops,2016.0,미국,"액션,전쟁",주연,270000.0,54.0,270000.0,54.0
3,코드 오브 아너,CODE OF HONOR,2016.0,미국,액션,주연,5000.0,1.0,5000.0,1.0
4,아시안 커넥션,The Asian Connection,2016.0,태국,"액션,범죄",주연,,,,
5,엔드 오브 어 건,End of a Gun,2016.0,미국,"액션,범죄,스릴러",주연,,,,
6,컨트랙트 투 킬,Contract to Kill,2016.0,루마니아,액션,주연,,,,
7,퍼펙트 킬러,Gutshot Straight,2014.0,미국,"액션,스릴러",주연,3000.0,1.0,3000.0,1.0
8,스티븐시걸의 굿맨,A Good Man,2014.0,미국,액션,주연,240000.0,45.0,240000.0,45.0
9,F.O.E.: 에프.오.이.,Force of Execution,2013.0,미국,액션,주연,2000.0,1.0,2000.0,1.0
10,스티븐 시걸의 살인면허,TRUE JUSTICE MOVIE 5: DEAD DROP,2012.0,미국,액션,주연,9000.0,1.0,9000.0,1.0
11,스티븐 시걸의 작전명 고스트,TRUE JUSTICE MOVIE 4 : ANGEL OF DEATH,2012.0,미국,액션,주연-케인역,213000.0,38.0,213000.0,38.0
12,스티븐 시걸의 비밀요원,"True Justice Movie 6 : The Shot, One Life",2012.0,미국,액션,주연-케인역,262000.0,44.0,262000.0,44.0
13,스티븐 시걸의 CIA,TRUE JUSTICE SEASON2 : BLOOD ALLEY,2012.0,미국,"액션,범죄,드라마",주연,2290000.0,1120.0,2290000.0,1120.0
14,스티븐 시걸의 비밀경찰,TRUE JUSTICE SEASON2 : VIOLENCE OF ACTION,2012.0,미국,액션,주연,10311000.0,5078.0,10311000.0,5078.0
15,스티븐 시걸의 리벤지,true justice : vengeance is mine,2012.0,미국,액션,주연,3459000.0,1652.0,3459000.0,1652.0
16,맥시멈 컨빅션,Maximum Conviction,2012.0,미국,"액션,어드벤처,스릴러",주연,3165000.0,1500.0,3165000.0,1500.0
17,다크 리벤지,True Justice: Dark Vengeance,2011.0,미국,"액션,드라마,스릴러",주연-엘리야 케인 역,10000.0,5.0,10000.0,5.0
18,데들리 크로싱,Southern Justice: Russian Crossing,2011.0,미국,"액션,드라마,스릴러",주연,72000.0,22.0,72000.0,22.0
19,브라더후드,True Justice Brotherhood,2011.0,미국,액션,주연-케인역,,,,
20,스트리트 워,True Justice: Street War,2011.0,미국,"스릴러,액션,드라마",주연,,,7000.0,1.0
21,시티워,Urban Warfare,2011.0,미국,액션,주연,,,,
22,마셰티,Machete,2010.0,미국,액션,주연-토레즈역,27981000.0,3702.0,27981000.0,3702.0
23,스티븐 시걸의 더 키퍼,The Keeper,2009.0,미국,액션,주연,,,,
24,어게인스트 더 다크,Against The Dark,2009.0,미국,"액션,공포(호러)",주연,,,,
25,위험한 남자,A Dangerous Man,2009.0,미국,"액션,스릴러",주연-쉐인 다니엘스역,,,,
26,킬 스위치,Kill Switch,2008.0,"미국,캐나다","액션,범죄,스릴러",주연,,,,
27,피스톨 휩트,Pistol Whipped,2008.0,미국,"액션,스릴러",주연,,,,
28,블랙 스텔스,Flight Of Fury,2007.0,"영국,루마니아,미국","액션,스릴러",주연,,,,
29,어반 저스티스,Urban Justice,2007.0,미국,"액션,스릴러",주연,,,,
30,쉐도우맨,Shadow Man,2006.0,미국,액션,주연-잭 포스터역,0.0,500.0,3500000.0,500.0
31,어택 포스,Attack Force,2006.0,"미국,영국,루마니아","액션,스릴러",주연,,,,
32,정의의 용병,Mercenary,2006.0,"기타,미국,남아프리카공화국","액션,드라마,스릴러",주연,,,,
33,인투 더 썬,Into The Sun,2005.0,미국,"스릴러,액션,어드벤처",주연,0.0,1054.0,7090000.0,1013.0
34,서브머지드,Submerged,2005.0,미국,"공포(호러),액션",주연,0.0,215.0,,
35,스티븐 시걸의 함정,Today You Die,2005.0,미국,"액션,범죄",주연,,,,
36,포리너 2 : 암흑의 새벽,Black Dawn,2005.0,미국,액션,주연,,,,
37,클레멘타인,Clementine,2004.0,한국,액션,주연,0.0,67000.0,22983000.0,3562.0
38,아웃 오브 리치,Out Of Reach,2004.0,"미국,폴란드","액션,멜로/로맨스",주연,,,,
39,벨리 오브 비스트,Belly Of The Beast,2003.0,영국,액션,주연,0.0,208.0,50000.0,10.0
40,포리너,The Foreigner,2003.0,미국,"액션,범죄",주연,0.0,6584.0,,
41,아웃 포 킬,Out For A Kill,2003.0,미국,액션,주연,,,,
42,하프 패스트 데드,Half Past Dead,2002.0,미국,액션,주연,0.0,47543.0,,
43,씨커,Ticker,2001.0,미국,"범죄,액션",주연,0.0,4315.0,,
44,엑시트 운즈,Exit Wounds,2001.0,미국,"미스터리,액션",주연,0.0,65415.0,,
45,패트리어트,The Patriot,1997.0,미국,"스릴러,액션",주연,0.0,8238.0,,
46,화이어 다운,Fire Down Below,1997.0,미국,"액션,드라마,스릴러",주연,0.0,23151.0,,
47,글리머 맨,The Glimmer Man,1996.0,미국,"액션,드라마,스릴러,범죄",주연,0.0,67070.0,,
48,화이널 디씨전,Executive Decision,1996.0,미국,"액션,범죄,어드벤처",주연,0.0,132074.0,196000.0,98.0
49,언더 씨즈 2,Under Siege 2,1995.0,미국,액션,주연,0.0,180584.0,,
50,스티븐 시갈의 죽음의 땅,On Deadly Ground,1993.0,미국,액션,"감독,주연",0.0,149855.0,,
51,언더씨즈,Under Siegh,1992.0,미국,"스릴러,액션",주연,0.0,190559.0,,
52,언더 씨즈,Under Siege,1992.0,미국,"액션,드라마,스릴러",주연,,,268000.0,134.0
53,죽음의 표적,Marked For Death,1990.0,미국,액션,주연,0.0,107572.0,,
54,트루 저스티스,True Justice: Lethal Justice,,미국,"스릴러,액션",주연,0.0,0.0,226000.0,93.0
