,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,나쁜놈은 죽는다 무삭제 특별판,,2015,"중국,한국","코미디,범죄,액션",주연,3000,1,3000.0,1.0
1,나쁜놈은 죽는다,Bad Guys Always Die,2015,"중국,한국","코미디,액션",주연,117273700,14942,117324700.0,14950.0
2,가문의 영광4 - 가문의 수난,Unstoppable Family,2011,한국,코미디,주연,17792219500,2368267,17792219500.0,2368267.0
3,우리 이웃의 범죄,Sin of a Family,2010,한국,"드라마,스릴러",주연,32054000,4213,32054000.0,4213.0
4,킬 미,Kill Me,2009,한국,"멜로/로맨스,코미디",주연-윤현준역,390480657,51304,386192500.0,50730.0
5,마지막 선물,His Last Gift,2007,한국,드라마,주연,1748517833,272890,1740290500.0,265362.0
6,김관장 대 김관장 대 김관장,Master KIMs,2006,한국,코미디,주연,0,1025618,5575404600.0,925661.0
7,가문의 부활 - 가문의 영광3,Marrying the Mafia 3 : Family Hustle,2006,한국,코미디,주연,0,3464516,15996330400.0,2598859.0
8,맨발의 기봉이,Barefoot Ki-Bong,2006,한국,"드라마,코미디,가족",주연,0,2347311,12239242400.0,2005180.0
9,무영검,Shadowless Sword,2005,한국,액션,주연,0,609852,3306114500.0,519722.0
10,가문의 위기(가문의 영광2),Marrying the Mafia 2: Enemy-in-Law,2005,한국,코미디,주연,0,5635266,28622355500.0,4529876.0
11,"달마야, 서울 가자","Hi, Dharma 2 -Showdown In Seoul",2004,한국,코미디,주연,0,1272000,4469579500.0,703507.0
12,페이스,Face,2004,한국,공포(호러),주연,0,474000,1534151500.0,238950.0
13,블루,Blue,2003,한국,드라마,주연,0,198500,,
14,킬러들의 수다,Guns And Talks,2001,한국,코미디,주연,0,871125,35000.0,7.0
15,싸이렌,The Siren,2000,한국,"드라마,범죄,액션",주연,0,62135,,
16,비천무,Bichunmoo,2000,한국,"사극,액션",주연-진하역,0,717659,,
17,퇴마록,The Soul Guardians,1998,한국,"SF,공포(호러),미스터리",주연,0,419201,,
18,남자이야기,Story of a Man,1998,한국,"드라마,액션",주연,0,11997,,
19,K.K 훼미리 리스트,Korean Killer Famliy List,1997,한국,"범죄,액션",주연,0,3240,,
20,마리아와 여인숙,Maria And The Inn,1997,한국,"드라마,멜로/로맨스",주연,0,31828,,
21,지상만가,Lament,1997,한국,"멜로/로맨스,액션",주연,0,33587,,
22,채널 식스 나인,Channel 69,1996,한국,드라마,주연,0,15869,,
23,은행나무 침대,The Gingko Bed,1996,한국,"판타지,멜로/로맨스",주연,0,452580,70000.0,9.0
24,참견은 노~ 사랑은 오예~,Love Is Oh Yeah!(,1993,한국,드라마,주연,0,8271,,
25,화엄경,The Avatamska Sutra,1993,한국,"드라마,멜로/로맨스",조연,0,0,638000.0,280.0
26,장군의 아들 3,The General's Son 3,1992,한국,"액션,드라마",주연,0,162600,0.0,0.0
27,장군의 아들 2,The Generla's Son 2,1991,한국,"드라마,액션",주연,0,357697,1394000.0,754.0
28,장군의 아들,The General's Son,1990,한국,"드라마,액션",주연,0,678946,5959000.0,2974.0
