,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,여자전쟁: 떠도는 눈,,2015,한국,"드라마,스릴러",주연-불여우84역,752000.0,145.0,752000.0,145.0
1,피끓는 청춘,Hot Young Bloods,2013,한국,"코미디,멜로/로맨스,드라마",조연-만철역,11688382888.0,1676040.0,11688382888.0,1676040.0
2,누구나 제 명에 죽고 싶다,Your Time is UP,2012,한국,"드라마,액션",조연-콩새역,4027500.0,517.0,4430500.0,577.0
3,간기남,The Scent,2011,한국,"코미디,스릴러",조연-아들뻘 남역,9356404500.0,1246185.0,9356404500.0,1246185.0
4,달빛소나타,Moonlight Sonata,2011,한국,"멜로/로맨스,드라마,코미디",주연-봉칠역,,,,
5,포화속으로,71-Into The Fire,2010,한국,"드라마,전쟁",조연-달영역,24217600897.0,3385706.0,23831968600.0,3330326.0
6,내 눈에 콩깍지,"The Relation Of Face, Mind And Love",2009,한국,"멜로/로맨스,코미디",조연,405424788.0,55132.0,400965500.0,54514.0
7,슬픔보다 더 슬픈 이야기,More Than Blue,2009,한국,"멜로/로맨스,드라마",조연-민철역,4774850499.0,724107.0,4724214000.0,715800.0
8,님은 먼 곳에,Sunny,2008,"한국,태국","드라마,전쟁","주연-드러머, 철식역",11211235000.0,1706576.0,11206382000.0,1706495.0
9,구타유발자들,A Bloody Aria,2006,한국,"코미디,범죄",조연-원룡역,0.0,164606.0,934380300.0,143061.0
10,싸움의 기술,The Art Of Fighting,2005,한국,코미디,단역-악어역,0.0,1313727.0,7331140000.0,1146463.0
11,종려나무 숲,The Windmill Palm Grove,2005,한국,드라마,단역-꼽추역,0.0,22895.0,88488000.0,14323.0
12,내 머리 속의 지우개,A Moment To Remember,2004,한국,멜로/로맨스,단역-노가다 3역,0.0,2565078.0,11935992600.0,1887850.0
13,나두야 간다,A Wacky Switch,2004,한국,코미디,단역-자해 공갈 3역,0.0,342300.0,1215167500.0,193554.0
14,동해물과 백두산이,Lost In The South Mission: Going Home,2003,한국,코미디,조연-진만역,0.0,764567.0,1041877500.0,163194.0
15,몽정기,Wet Dreams,2002,한국,코미디,단역-천수역,,763190.0,,
