,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,블랙 로즈,Black Rose,2014,러시아,"액션,스릴러,드라마",조연,7000.0,1.0,7000.0,1.0
1,아포칼립스 2014,Pompeii,2014,미국,"SF,액션,전쟁",주연,4761000.0,1011.0,4761000.0,1011.0
2,인디펜던스: 인류 최후의 반격,Outpost 37,2014,"영국,남아프리카공화국","SF,액션,스릴러",주연,,,,
3,우주 전쟁 : 지구대침공,AE: Apocalypse Earth,2013,미국,"액션,어드벤처",주연,4000.0,1.0,4000.0,1.0
4,나인 마일즈 다운,Nine Miles Down,2009,"영국,미국,헝가리,호주","미스터리,스릴러",주연,,,,
5,리틀 시카고,Little Chicago,2005,미국,"액션,드라마",주연-프랭크 역역,,,,
6,스톰 왓치,Storm Watch,2002,미국,"액션,SF",주연,,,,
7,브리드,The Breed,2001,미국,"액션,어드벤처",주연,,,,
8,엔드 오브 게임,Highlander : Endgame,2000,미국,"액션,판타지",주연,0.0,2198.0,,
9,디아블로,Diablo,1999,미국,"미스터리,스릴러",주연,,,,
