,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,서른살의 욕정-처음 아니야,Youth of a certain female office worker,2014.0,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
1,절대복종-가녀린 몸매,Breeding,2014.0,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
2,노예로 삼아줘 - 첫사랑,Make me a slave; and a longed-for person,2013.0,일본,성인물(에로),주연,5000.0,1.0,5000.0,1.0
3,스튜어디스 아내의 이중생활,Wife's Double Life - A Fake Flight,2010.0,일본,멜로/로맨스,주연,9000.0,1.0,9000.0,1.0
4,알바생과의 불륜,THE WIFE OF CLEANER LONGING WITH A YOUNG MAN,2009.0,일본,성인물(에로),주연,30000.0,10.0,30000.0,10.0
5,그녀의 흔적,Minzetsu Hodobasiru Aiyoku,2006.0,일본,성인물(에로),주연,,,20000.0,4.0
6,자매의밀회,Simaino Mittge,2006.0,일본,성인물(에로),주연,,,10000.0,2.0
7,젊은유부녀피아노교사,Ren ai Pianokyoushi,2001.0,일본,"멜로/로맨스,드라마",주연-요코역,,,,
8,치한전차,The Groper Train - Touch And Surprise,2001.0,일본,멜로/로맨스,주연,,,,
9,섹스테라피: 마성의 본능,Sexapist diabolical instinct,2000.0,일본,"멜로/로맨스,드라마",주연,,,,
10,문라이트 섹스레슨,Moonlight Serenade,,일본,성인물(에로),주연,,,,
