,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,"오늘 밤, 로맨스 극장에서",Color Me True,2018,일본,"판타지,멜로/로맨스",주연,7043900.0,835.0,301894900.0,35732.0
1,바닷마을 다이어리,Our Little Sister,2015,일본,드라마,주연,825145384.0,100624.0,841928384.0,102887.0
2,비밀의 아코짱,Akko-chan: The Movie,2012,일본,멜로/로맨스,주연,7764000.0,1546.0,7764000.0,1546.0
3,호타루의 빛,Hotaru The Movie: It's Only A Little Light In My Life,2011,일본,"멜로/로맨스,코미디",주연,23127500.0,2989.0,23127500.0,2989.0
4,인사이트 밀: 7일간의 데스 게임,The Incite Mill,2010,일본,미스터리,주연,,,,
5,가슴 배구단,Oppai Volleyball,2009,일본,코미디,주연,1208200.0,159.0,1208200.0,159.0
6,싸이보그 그녀,Cyborg She,2009,"한국,일본","코미디,멜로/로맨스,SF",주연-그녀역,138415038.0,20975.0,136587500.0,20696.0
7,해피 플라이트,Happy Flight,2008,일본,"코미디,드라마",주연-에츠코역,166419427.0,24040.0,165981000.0,24022.0
8,매직 아워,The Magic Hour,2008,일본,"코미디,드라마",주연,115419500.0,16907.0,115688500.0,16952.0
9,이치,Ichi,2008,일본,액션,주연,,,,
10,극한추리 콜로세움,Kyokugen Suiri Colosseum,2004,일본,스릴러,주연,,,,
