,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,녹터널 애니멀스,Nocturnal Animals,2016,미국,"드라마,스릴러",조연,295934079.0,35881.0,295934079.0,35881.0
1,비전스,Visions,2015,미국,"공포(호러),미스터리,스릴러",주연-이비 역역,8000.0,1.0,8000.0,1.0
2,나우 유 씨 미 : 마술사기단,Now You See Me,2013,미국,"범죄,액션,스릴러",주연-헨리역,19146691869.0,2718227.0,19146757869.0,2718237.0
3,가디언즈,Rise of the Guardians,2012,미국,"애니메이션,어드벤처",주연-투스역(목소리),8212243000.0,1075584.0,8245266000.0,1081096.0
4,버크 앤 헤어,Burke & Hare,2010,영국,"코미디,스릴러,범죄",주연,3340000.0,668.0,3340000.0,668.0
5,쇼퍼홀릭,Confessions Of A Shopaholic,2009,미국,"코미디,드라마,멜로/로맨스",주연-레베카 블룸우드역,2103939884.0,311274.0,2073278500.0,306459.0
6,나의 특별한 사랑이야기,"Definitely, Maybe",2007,미국,"코미디,드라마,멜로/로맨스",주연-에이프릴 역,1166701500.0,186234.0,1165168500.0,179336.0
7,룩아웃,The Lookout,2007,미국,"범죄,드라마,스릴러",주연,,,,
8,핫 라드,Hot Rod,2007,미국,코미디,주연,,,,
9,처음 본 그녀에게 프로포즈하기,The Pleasure Of Your Company,2006,미국,"코미디,멜로/로맨스",주연-케이티 역,257847427.0,35213.0,253999000.0,34690.0
