,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아이다,Aida,2017.0,독일,"공연,드라마,멜로/로맨스",주연-아이다역,46091500.0,2002.0,46091500.0,2002.0
1,일 트로바토레,Trovatore,2015.0,미국,공연,주연,45900000.0,1854.0,63645000.0,2578.0
2,욜란타 & 푸른 수염의 성,IOLANTA & BLUEBEARD'S CASTLE,2015.0,미국,공연,주연,13431000.0,551.0,13431000.0,551.0
3,일 트로바토레 잘츠부르크 페스티벌,IL TROVATORE Salzburg Festival,2014.0,독일,공연,주연-레오노라역,23993500.0,945.0,35178000.0,1673.0
4,일 트로바토레,Il Trovatore,2013.0,독일,공연,주연,16438000.0,1022.0,16593000.0,1053.0
5,사랑의 묘약,LELISIR DAMORE,2012.0,미국,"공연,드라마,멜로/로맨스",주연-아디나역,37944500.0,1408.0,38419500.0,1503.0
6,마농,MANON,2012.0,미국,공연,주연,12530000.0,457.0,12530000.0,457.0
7,안나 볼레나,Anna Bolena,2011.0,독일,공연,주연-안나 볼레나역,20674500.0,806.0,21029500.0,860.0
8,안나볼레나,Anna Bolena,2011.0,미국,공연,주연,11929000.0,420.0,11929000.0,420.0
9,오페라-호프만의 이야기,Opera-The Tales Of Hoffmann,2009.0,미국,뮤지컬,주연,24325927.0,1229.0,26335000.0,1409.0
10,라보엠,La Boheme,2008.0,독일,멜로/로맨스,주연,28246000.0,1835.0,57319000.0,3846.0
11,라 보엠,La Bohème,2008.0,"오스트리아 ,독일","뮤지컬,멜로/로맨스",주연-미미 역역,,,,
12,베르디 - 라 트라비아타,La Traviata,2005.0,독일,공연,주연,,,,
13,잔다르크,Joan of Arc,,이탈리아,공연,주연-잔 다르크역,,,0.0,0.0
