,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,트롤,Trolls,2016,미국,애니메이션,주연-파피 역역(목소리),5011161500.0,675966.0,5011161500.0,675966.0
1,어카운턴트,THE ACCOUNTANT,2016,미국,"액션,스릴러",주연,548544928.0,69529.0,548544928.0,69529.0
2,더 보이스,The Voices,2015,"미국,독일","코미디,범죄",주연,,,,
3,미스터 라잇,MR. RIGHT,2015,미국,"액션,코미디,멜로/로맨스",주연,92430800.0,12465.0,92430800.0,12465.0
4,피치 퍼펙트: 언프리티 걸즈,Pitch Perfect 2,2015,미국,"코미디,뮤지컬",주연,591516497.0,75598.0,591516497.0,75598.0
5,숲속으로,Into the Woods,2014,미국,뮤지컬,주연,2596533288.0,341882.0,2596533288.0,341882.0
6,케이크,Cake,2014,미국,드라마,주연-니나 역역,,,,
7,해피 크리스마스,Happy Christmas,2014,미국,"코미디,드라마",주연-안나 역역,,,,
8,드링킹 버디즈,Drinking Buddies,2013,미국,"코미디,드라마,멜로/로맨스",주연-질 역역,,,,
9,컴퍼니 유 킵,The Company You Keep,2012,미국,스릴러,"조연-다이아나역,역",13694000.0,2134.0,13925000.0,2173.0
10,피치 퍼펙트,Pitch Perfect,2012,미국,"코미디,멜로/로맨스",주연-베카역,90720000.0,13520.0,90850000.0,13537.0
11,파라노만,Paranorman,2012,미국,애니메이션,주연(목소리),75039000.0,10942.0,75039000.0,10942.0
12,마크 피즈 익스피리언스,The Marc Pease Experience,2010,미국,코미디,주연,,,,
13,인 디 에어,Up In The Air,2009,미국,"드라마,코미디,멜로/로맨스",주연,412946426.0,53423.0,408215500.0,52800.0
14,로켓 사이언스,Rocket Science,2007,미국,코미디,주연,,,,
