,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,여자전쟁: 이사 온 남자,,2016,한국,드라마,주연,754000.0,135.0,754000.0,135.0
1,화장,Revivre,2014,한국,드라마,단역-안상무역,1073964100.0,142519.0,1074486100.0,142609.0
2,태양을 쏴라,Heartbreak Hotel,2014,한국,멜로/로맨스,주연,126046400.0,17444.0,126046400.0,17444.0
3,쿼바디스,Quo Vadis,2014,한국,다큐멘터리,주연,155635500.0,20731.0,155635500.0,20731.0
4,MB의 추억,Remembrance of MB,2012,한국,다큐멘터리,주연-내레이션역(목소리),112375100.0,14954.0,112424100.0,14961.0
5,후궁 : 제왕의 첩,The Concubine,2012,한국,"사극,멜로/로맨스",조연-신참판역,19330302500.0,2636320.0,19330736000.0,2636385.0
6,사랑이 무서워,Shotgun Love,2011,한국,"코미디,멜로/로맨스",조연-포차주인역,3020062500.0,402876.0,3020062500.0,402876.0
7,마이 파더,My Father,2007,한국,"드라마,가족",조연-장민호역,0.0,902090.0,5641848000.0,901055.0
8,페이스,Face,2004,한국,공포(호러),조연,0.0,474000.0,1534151500.0,238950.0
9,선택,The Road Taken,2003,한국,드라마,주연,,7952.0,128000.0,32.0
10,아 유 레디?,R. U. Ready?,2002,한국,"액션,어드벤처,판타지",주연,,20774.0,,
11,해적 디스코왕 되다,Bet On My Disco,2002,한국,"드라마,코미디",단역-배 사장역,,411513.0,,
12,공공의 적,Public Enemy,2002,한국,"범죄,액션",조연-감식반장역,,1161500.0,1145500.0,138.0
13,조폭마누라,My Wife Is a Gangster,2001,한국,코미디,단역-결혼식 주례사역,0.0,1419972.0,,
14,하면 된다,Just Do It,2000,한국,"범죄,코미디",주연-정병환역,0.0,126368.0,,
15,달 세뇨,Dal Segno,2000,한국,드라마,주연,,,,
16,텔미썸딩,Tell Me Something,1999,한국,"스릴러,미스터리",조연-구 검사역,0.0,1230000.0,,
17,넘버 3,No. 3,1997,한국,"코미디,액션,범죄",조연-강도식역,0.0,297617.0,620500.0,82.0
18,진짜 사나이,The Real Man,1996,한국,"코미디,액션,드라마",단역-소녀 아버지역,0.0,39689.0,,
19,꽃잎,A Petal,1996,한국,드라마,조연-반장역,0.0,213979.0,0.0,0.0
20,태백산맥,The Tae Baek Mountains,1994,한국,"드라마,전쟁",단역,0.0,227813.0,499000.0,250.0
21,구미호,The Fox With Nine Tails,1994,한국,"SF,공포(호러),멜로/로맨스,판타지",조연,0.0,174797.0,,
22,티라노의 발톱,Tyranno'S Toenail,1994,한국,"SF,액션,코미디",조연-원시인역,0.0,5145.0,,
23,고철을 위하여,For Go-chul,1993,한국,드라마,주연,,,,
