,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,톰보이 리벤저,The Assignment,2016,미국,"액션,스릴러,범죄",주연,640000.0,82.0,640000.0,82.0
1,아이히만 쇼,The Eichmann Show,2015,영국,드라마,주연,17028000.0,2240.0,17028000.0,2240.0
2,멘탈,Mental,2012,"호주,미국","코미디,드라마",주연,,,,
3,윈터 살스티스,Winter Solstice,2004,미국,드라마,주연,,,,
4,해피 아워,Happy Hour,2003,미국,"코미디,드라마",주연,,,,
5,가이,The Guys,2002,미국,드라마,주연,,,,
6,데드 히트,Dead Heat,2002,"캐나다,독일","액션,코미디,범죄,드라마",주연,,,,
7,란타나,Lantana,2001,"호주,독일","드라마,미스터리",주연,,,,
8,뱅크,The Bank,2001,"호주,이탈리아","스릴러,드라마",주연,,,,
9,알리브란디를 찾아서,Looking For Alibrandi,2000,호주,"코미디,드라마,멜로/로맨스",조연,,,,
10,스윗 앤 로다운,Sweet And Lowdown,1999,미국,"코미디,드라마",주연,,,962000.0,187.0
11,리페어 숍,The Repair Shop,1998,미국,드라마,주연,,,,
12,피닉스,Phoenix,1997,미국,"범죄,드라마",주연,0.0,5623.0,,
13,엠파이어레코드,Empire Records,1996,미국,"드라마,코미디",주연,0.0,1844.0,,
14,럭키브레이크,Lucky Break,1995,호주,코미디,주연,0.0,126.0,,
