,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,사냥의 시간(가제),,2018,한국,스릴러,주연,,,,
1,소공녀,Microhabitat,2017,한국,"멜로/로맨스,드라마",주연,470420700.0,58830.0,472209700.0,59068.0
2,묶음 5,,2017,한국,기타,감독,,,,
3,풀잎들,Grass,2017,한국,드라마,주연-홍수역,,,,
4,임금님의 사건수첩,The King's Case Note,2016,한국,"코미디,어드벤처,액션",주연-윤이서역,12648793723.0,1634403.0,12651193723.0,1635003.0
5,밤의 해변에서 혼자,On the Beach at Night Alone,2016,한국,드라마,조연,438976092.0,56995.0,439840592.0,57110.0
6,조작된 도시,Fabricated City,2016,한국,"범죄,액션",주연-데몰리션역,20138295587.0,2514943.0,20143992587.0,2515501.0
7,걷기왕,Queen of Walking,2016,한국,드라마,단역-소순이역,710905075.0,95542.0,710905075.0,95542.0
8,범죄의 여왕,The Queen of Crime,2016,한국,"스릴러,코미디",단역-합격탕 고시생역,343663400.0,43823.0,343992400.0,43866.0
9,굿바이 싱글,Familyhood,2016,한국,"코미디,드라마",조연-덕수역,16912706195.0,2108273.0,16913282195.0,2108561.0
10,위대한 소원,THE LAST RIDE,2016,한국,"코미디,드라마",주연-갑덕역,2440004213.0,308398.0,2440004213.0,308398.0
11,산나물 처녀,Ladies of the Forest,2016,한국,드라마,주연,,,,
12,널 기다리며,Missing You,2015,한국,스릴러,조연-차형사역,5234303336.0,635235.0,5234303336.0,635235.0
13,도리화가,THE SOUND OF A FLOWER,2015,한국,"사극,드라마",조연-용복역,2246950339.0,317505.0,2246950339.0,317505.0
14,검은 돼지,A day in the Black Hole,2015,한국,드라마,"감독,주연-두선역",,,,
15,슬픈 씬,Sad Scene,2015,한국,기타,주연,,,,
16,차이나타운,Coin Locker Girl,2014,한국,"범죄,드라마",단역-지방경찰2역,11989400678.0,1472006.0,11990707878.0,1472147.0
17,스물,Twenty,2014,한국,"코미디,드라마",단역-인국역,23558988686.0,3044134.0,23563705686.0,3044859.0
18,쎄시봉,C'est Si Bon,2014,한국,"멜로/로맨스,코미디,드라마",조연-병철역,13570381911.0,1714803.0,13571515911.0,1715370.0
19,타짜-신의 손,Tazza-The Hidden Card,2014,한국,드라마,단역-운도역,32373120927.0,4015361.0,32373120927.0,4015361.0
20,미성년,Miss The Train,2014,한국,드라마,주연-태식역,,,620300.0,108.0
21,썸남썸녀,,2014,한국,"멜로/로맨스,코미디,드라마",주연-남자2호 역역,,,566000.0,81.0
22,"열아홉, 연주","Summer, Love, Illusion",2014,한국,드라마,감독,,,,
23,출중한 여자,,2014,한국,멜로/로맨스,주연,,,98000.0,14.0
24,레드카펫,Red Carpet,2013,한국,"멜로/로맨스,코미디",조연-풍차역,2405669580.0,316953.0,2405669580.0,316953.0
25,족구왕,The King of Jokgu,2013,한국,"코미디,멜로/로맨스,드라마",주연-홍만섭역,359688000.0,45701.0,368776500.0,47299.0
26,미라의 의지,Mira’s Will,2013,한국,"드라마,코미디",주연,,,,
27,누구의 딸도 아닌 해원,Nobody’s Daughter Haewon,2012,한국,드라마,단역-학생 1역,268878400.0,34876.0,275129900.0,35719.0
28,"1999, 면회",Sunshine Boys,2012,한국,드라마,주연-승준역,23511300.0,3338.0,23926300.0,3404.0
29,레몬타임,LEMON TIME,2012,한국,드라마,조연-욱역,,,111000.0,74.0
30,졸업여행,Graduation Trip,2012,한국,드라마,주연,,,564902.0,336.0
31,플래쉬 몹 같은 내 생일,Happy Birthday to Me,2012,한국,"드라마,코미디,멜로/로맨스",주연,,,,
32,북촌방향,The Day He Arrives,2011,한국,드라마,단역-학생 1역,364458700.0,45560.0,369794200.0,46212.0
33,술술,Chatter,2011,한국,,주연,,,152000.0,152.0
34,굿바이 보이,BOY,2010,한국,드라마,단역-종용 일당역,22900000.0,3053.0,23005000.0,3076.0
35,구경,A Perfect Sight,2009,한국,"드라마,멜로/로맨스",주연,,,2000.0,2.0
36,보리울의 여름,Season In The Sun,2003,한국,"드라마,코미디",단역-창수역,0.0,86000.0,,
