,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,바이 더 씨,By the Sea,2015,미국,"드라마,멜로/로맨스","감독,주연",46167000.0,5908.0,46167000.0,5908.0
1,쿵푸팬더3,Kung Fu Panda 3,2015,미국,"애니메이션,액션,어드벤처",주연-타이그리스역(목소리),31340798156.0,3984812.0,31340813156.0,3984814.0
2,언브로큰,Unbroken,2014,미국,"액션,드라마,전쟁",감독,2000555292.0,256801.0,2000555292.0,256801.0
3,말레피센트,Maleficent,2014,미국,"액션,어드벤처,드라마",주연,10776965900.0,1397526.0,10776965900.0,1397526.0
4,쿵푸팬더 2,Kung Fu Panda 2,2011,미국,"애니메이션,액션,어드벤처,코미디,가족","주연-호랑이, 타이그리스 목소리 역",44298724500.0,5062722.0,44310427500.0,5064796.0
5,제인 구달,Jane's Journey,2010,독일,다큐멘터리,주연,22857000.0,3035.0,24007500.0,3251.0
6,투어리스트,The Tourist,2010,미국,"드라마,스릴러",주연,6834421095.0,915359.0,6760023000.0,905624.0
7,솔트,Salt,2010,미국,"스릴러,액션",주연-에블린 솔트역,21719123025.0,2921331.0,21360288000.0,2869938.0
8,체인질링,Changeling,2008,미국,"드라마,미스터리,범죄",주연-크리스틴 콜린스역,3581346406.0,522667.0,3555713500.0,519127.0
9,원티드,Wanted,2008,미국,"스릴러,액션",주연,19258777000.0,2867594.0,19249398000.0,2858750.0
10,쿵푸 팬더,Kung Fu Panda,2008,미국,"애니메이션,코미디,액션,가족",주연(목소리),30000965000.0,4673009.0,29998150000.0,4654266.0
11,베오울프,Beowulf,2007,미국,"애니메이션,드라마,어드벤처,판타지",주연,0.0,890100.0,6791108000.0,968535.0
12,마이티 하트,A Mighty Heart,2007,"미국,영국","드라마,스릴러",주연,,,,
13,굿셰퍼드,The Good Shepherd,2006,미국,"미스터리,드라마,스릴러",주연,0.0,98834.0,569247000.0,87834.0
14,미스터 & 미세스 스미스,Mr. And Mrs. Smith,2005,미국,"멜로/로맨스,액션,어드벤처,스릴러",주연,0.0,3546900.0,18900071500.0,2963193.0
15,월드 오브 투모로우,Sky Captain And The World Of Tomorrow,2004,미국,SF,주연,0.0,424551.0,2255633000.0,351261.0
16,알렉산더,Alexander,2004,미국,"전쟁,드라마",주연,0.0,1671576.0,8352610789.0,1310651.0
17,테이킹 라이브즈,Taking Live,2004,미국,스릴러,주연,0.0,135470.0,249467500.0,38736.0
18,머나먼 사랑,Beyond Borders,2003,미국,드라마,주연,0.0,15000.0,24525500.0,3698.0
19,툼레이더 2 : 판도라의 상자,Lara Croft Tomb Raider: The Cradle of Life,2003,미국,"액션,판타지,어드벤처",주연,0.0,1165906.0,,
20,어느날 그녀에게 생긴일,Life Or Something Like It,2002,미국,코미디,주연,0.0,19710.0,,
21,오리지날 씬,Original Sin,2001,미국,"멜로/로맨스,스릴러",주연,0.0,81879.0,,
22,툼레이더,Tomb Raider,2001,미국,"액션,판타지",주연,0.0,485381.0,,
23,식스티 세컨즈,Gone In Sixty Seconds,2000,미국,"액션,스릴러,범죄",주연-스웨이역,0.0,439847.0,,
24,처음 만나는 자유,Girl Interrupted,1999,미국,드라마,주연-리사역,0.0,24596.0,,
25,본 콜렉터,The Bone Collector,1999,미국,"미스터리,스릴러",주연-아멜리아역,0.0,212564.0,,
26,지아,Gia,1998,미국,드라마,주연,,,,
27,플레잉 바이 하트,Playing by Heart,1998,"영국,미국","코미디,멜로/로맨스",주연,,,,
28,헬스 키친,Hell's Kitchen,1998,캐나다,"드라마,범죄",주연,,,,
29,폭스파이어,Foxfire,1996,미국,드라마,주연,,,,
30,싸이보그 2,Syborg 2-Glass Shadow,1993,미국,"SF,액션",주연,0.0,1865.0,,
