,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,포르토,Porto,2016,"프랑스,폴란드,포르투갈,미국","드라마,멜로/로맨스",주연,35544800.0,4732.0,35579800.0,4736.0
1,스타트렉 비욘드,Star Trek Beyond,2016,미국,"액션,SF",주연,10193232820.0,1157472.0,10193232820.0,1157472.0
2,밀그램 프로젝트,Experimenter,2015,미국,드라마,주연,422400.0,68.0,422400.0,68.0
3,그린 룸,Green Room,2015,미국,"공포(호러),스릴러",주연,,,,
4,5 투 7,5 to 7,2014,미국,"코미디,멜로/로맨스",주연,37072200.0,4921.0,37072200.0,4921.0
5,범죄의 제국,Cymbeline,2014,미국,액션,주연,6489000.0,1297.0,6489000.0,1297.0
6,러덜리스,Rudderless,2014,미국,"코미디,드라마",주연,613113720.0,77867.0,615574220.0,78193.0
7,다잉 오브 라이트,Dying of the Light,2014,미국,"액션,스릴러",주연,,,,
8,오드토머스,ODD THOMAS,2013,미국,"액션,스릴러,SF,미스터리",주연-오드 토머스역,123233800.0,16555.0,123233800.0,16555.0
9,오직 사랑하는 이들만이 살아남는다,Only Lovers Left Alive,2013,"영국,독일,미국,프랑스","드라마,멜로/로맨스",조연,255170443.0,33818.0,266879843.0,35363.0
10,스타트렉 다크니스,Star Trek Into Darkness,2013,미국,"액션,SF,어드벤처",주연,12964828000.0,1605271.0,12986689500.0,1607555.0
11,라이크 크레이지,Like Crazy,2011,미국,"드라마,멜로/로맨스",주연-제이콥 역역,81549980.0,10850.0,81549980.0,10850.0
12,비버,The Beaver,2011,미국,"코미디,드라마",주연,37194500.0,5194.0,38844500.0,5512.0
13,프라이트 나이트,Fright Night,2011,미국,"공포(호러),스릴러",주연-찰리 브루스터 역역,,,,
14,터미네이터 : 미래전쟁의 시작,Terminator Salvation: The Future Begins,2009,미국,"SF,액션",주연-카일 리스역,30146162133.0,4568891.0,29690943500.0,4499776.0
15,찰리 바틀렛,Charlie Bartlett,2007,미국,"코미디,드라마",주연,48239000.0,7115.0,48239000.0,7115.0
16,알파독,Alpha Dog,2006,미국,"드라마,범죄",주연,648950794.0,99692.0,655519000.0,100602.0
17,피어스 피플,Fierce People,2005,"미국,캐나다",드라마,주연,,,,
18,하우스 오브 디,House Of D,2004,미국,드라마,주연,1163000.0,180.0,1163000.0,180.0
19,딜리버링 마일로,Delivering Milo,2001,미국,코미디,주연-마일로역,,,,
