,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,오션스8,Ocean's 8,2018,미국,"액션,범죄",주연,10978328166.0,1252385.0,11700157266.0,1335829.0
1,콜로설,Colossal,2017,"캐나다,스페인","액션,코미디,SF",주연,114967100.0,14687.0,114967100.0,14687.0
2,거울나라의 앨리스,Alice Through the Looking Glass,2015,미국,"어드벤처,가족,판타지",주연,4145733267.0,513202.0,4145733267.0,513202.0
3,인턴,The Intern,2015,미국,코미디,주연,28518443148.0,3610642.0,28522202348.0,3611166.0
4,송 원,Song One,2014,미국,"드라마,멜로/로맨스",주연,354715143.0,47599.0,361418143.0,48396.0
5,인터스텔라,Interstellar,2014,"미국,영국",SF,주연,82291089200.0,10275484.0,82669061000.0,10309432.0
6,리오 2,Rio 2,2014,미국,"애니메이션,코미디,어드벤처",주연-쥬엘역(목소리),5668239900.0,765713.0,5669231900.0,765961.0
7,걸 라이징,Girl Rising,2013,미국,다큐멘터리,주연(목소리),,,,
8,레미제라블,Les Miserables,2012,미국,드라마,주연,43044999000.0,5911890.0,43090556000.0,5920977.0
9,다크 나이트 라이즈,The Dark Knight Rises,2012,"미국,영국","액션,범죄,스릴러",주연-셀리나 카일역,47644838000.0,6396528.0,47675463500.0,6399303.0
10,원 데이,One Day,2011,미국,"드라마,멜로/로맨스",주연,1494277500.0,203029.0,1503406500.0,204341.0
11,러브 & 드럭스,Love And Other Drugs,2010,미국,"멜로/로맨스,코미디",주연,4125733000.0,527077.0,4125733000.0,527077.0
12,이상한 나라의 앨리스,Alice In Wonderland,2010,미국,"판타지,어드벤처,가족",주연-하얀 여왕역,20661000236.0,2182365.0,20334399500.0,2147012.0
13,발렌타인 데이,Valentine'S Day,2009,미국,"멜로/로맨스,코미디",주연,1337699931.0,172997.0,1314085500.0,169529.0
14,신부들의 전쟁,Bride Wars,2009,미국,"코미디,멜로/로맨스",주연-엠마역,686671367.0,105202.0,675067500.0,103501.0
15,패신저스,Passengers,2008,미국,"미스터리,멜로/로맨스",주연,228000.0,37.0,228000.0,37.0
16,레이첼 결혼하다,Rachel Getting Married,2008,미국,"드라마,멜로/로맨스,가족",주연-킴역,40491979.0,5747.0,39887000.0,5661.0
17,겟 스마트,Get Smart,2008,미국,"범죄,액션,코미디",주연,1152676500.0,176852.0,1149843500.0,175390.0
18,비커밍 제인,Becoming Jane,2007,미국,"드라마,멜로/로맨스",주연-제인 오스틴역,0.0,213487.0,1367447000.0,212860.0
19,악마는 프라다를 입는다,The Devil Wears Prada,2006,미국,드라마,주연-앤디 삭스역,0.0,1730719.0,8377549400.0,1378126.0
20,빨간모자의 진실,Hoodwinked,2005,미국,"애니메이션,코미디",주연-빨간 모자역(목소리),0.0,1057223.0,5753533100.0,952793.0
21,하복,Havoc,2005,"미국,독일","범죄,드라마",주연,,,,
22,프린세스 다이어리 2,The Princess Diaries 2: Royal Engagement,2004,미국,멜로/로맨스,주연,0.0,162789.0,792040500.0,128615.0
23,엘라의 유혹,Ella Enchanted,2004,"미국,아일랜드,영국","코미디,판타지,멜로/로맨스",주연,,,,
24,니콜라스 니클비,Nicholas Nickleby,2002,"영국,미국",드라마,주연,,,,
25,프린세스 다이어리,The Princess Diaries,2001,미국,"가족,드라마,코미디",주연,0.0,131165.0,,
26,디 아더 사이드 오브 헤븐,The Other Side Of Heaven,2001,미국,"어드벤처,드라마",주연,,,,
