,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,낮잠 공주 : 모르는 나의 이야기,ANCIENAND THE MAGIC TABLET,2017,일본,"애니메이션,판타지,드라마",주연(목소리),57713400.0,8145.0,57713400.0,8145.0
1,천공의 벌,The Big Bee,2015,일본,스릴러,주연,1132000.0,222.0,1132000.0,222.0
2,뇌남,The Brain Man,2013,일본,"범죄,미스터리,액션,드라마",주연,1040000.0,130.0,1040000.0,130.0
3,양과자점 코안도르,Patisserie Coin de rue,2011,일본,드라마,주연-토무라역,135988900.0,17322.0,138246400.0,17702.0
4,퍼머넌트 노바라,Pamamento Nobara,2010,일본,"드라마,멜로/로맨스,코미디",주연,8249318.0,1213.0,8175800.0,1202.0
5,폭렬닌자 고에몬,Goemon,2009,일본,"액션,드라마",주연,,,,
6,어둠의 아이들,Children Of The Dark,2008,일본,드라마,주연,41095211.0,6477.0,40527000.0,6385.0
7,전국자위대 1549,Samurai Commando Mission 1549,2005,일본,"SF,액션",주연-카시마 유스케역,,,,
8,료마의 아내,Ryoma's Wife,2002,일본,"코미디,멜로/로맨스",주연,,,,
9,어나더 헤븐,Another Heaven,2000,일본,"범죄,공포(호러),SF",주연,,,,
