,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,666 사탄의 아들,Neron,2016,미국,,주연,3000.0,1.0,3000.0,1.0
1,더 벙커: 프로젝트 12,Project12: The Bunker,2016,스페인,"액션,어드벤처",주연,,,,
2,라자루스 라이징,Lazarus Rising,2015,미국,"액션,범죄",주연,300000.0,60.0,300000.0,60.0
3,히트맨 인 런던,A Hitman In London,2015,영국,"액션,스릴러",주연,5000.0,1.0,5000.0,1.0
4,더 코드 오브 카인,The Code of Cain,2015,미국,액션,주연,,,,
5,내 생애 최악의 데이트,It's not a date,2014,미국,코미디,주연,5000.0,1.0,5000.0,1.0
6,쥬라기 헌터,Jurassic hunters,2014,미국,"액션,SF,어드벤처",주연,5000.0,1.0,5000.0,1.0
7,다중살인,Jake’s Road,2014,미국,"공포(호러),스릴러",주연,14000.0,2.0,14000.0,2.0
8,비트레이얼,Betrayal,2013,미국,"액션,어드벤처,범죄,미스터리,스릴러",주연,200000.0,40.0,200000.0,40.0
9,더 클로스,The Cloth,2013,미국,"공포(호러),어드벤처,판타지",주연-톨맨역,500000.0,100.0,500000.0,100.0
10,메리 크리스마스,So This Is Christmas,2013,미국,"코미디,드라마",주연,,,,
11,스케빈저 킬러스,Scavenger Killers,2013,미국,"범죄,공포(호러),스릴러",주연-거트로 역역,,,,
12,웨스트브릭 머더스,Westbrick Murders,2010,"덴마크,미국,영국","액션,범죄,스릴러",주연-존 바로우 역역,,,,
13,핑크빌,Pinkville,2009,캐나다,드라마,주연,,,,
14,스텔스핵잠수함 VS 아메리카,Depth Charge,2008,미국,"액션,스릴러",주연-윌리엄 클레이그역,,,,
15,싸이클롭스,Cyclops,2008,미국,"SF,공포(호러),판타지",주연-시저 황제 역역,,,,
16,롱 라이드 홈,The Long Ride Home,2003,미국,서부극(웨스턴),주연,,,,
17,마인드스톰,Mindstorm,2001,미국,"SF,공포(호러),미스터리,스릴러",주연,0.0,45.0,,
18,데인져러스 갱,Stiletto Dance,2001,미국,액션,주연,,,,
19,킹스 고질라,Raptor,2001,미국,"SF,액션",주연,,,,
20,게놈 프로젝트,Race Against Time,2000,미국,스릴러,주연,,,,
21,리플레이스먼트,The Alternate,2000,미국,"액션,드라마",주연-리플레이스먼트역,,,,
22,체이서,Mercy Streets,2000,미국,"액션,범죄,드라마",주연,,,,
23,킹스 가드,The King's Guard,2000,미국,어드벤처,주연,,,,
24,트리플,TripFall,2000,미국,스릴러,주연,,,,
25,플라잉 더치맨,The Flying Dutchman,2000,미국,"드라마,미스터리,멜로/로맨스",주연,,,,
26,노 알리바이,No Alibi,1999,캐나다,스릴러,주연,,,,
27,리스트레이닝 오더,Restraining Order,1999,"독일,미국","액션,스릴러",주연,,,,
28,야생화,Wildflowers,1999,미국,드라마,주연,,,,
29,헤븐스 파이어,Heaven's Fire,1999,"캐나다,독일,미국","액션,스릴러",주연,,,,
30,히트맨 런,Hitman's Run,1999,미국,액션,주연,,,,
31,데드 엔드,Dead End,1998,캐나다,"액션,드라마,스릴러",주연,,,,
32,앤지 에버하트의 퍼니셔,BitterSweet,1998,미국,스릴러,주연,,,,
33,퍼블릭 에너미 NO 1,Public Enemy No 1,1996,미국,"드라마,범죄,스릴러",주연,0.0,1034.0,,
34,케이블 가이,Cable Guy,1996,미국,"코미디,드라마,스릴러",주연,0.0,48177.0,,
35,에릭 로버츠의 저격자,Past Perfect,1996,미국,"액션,드라마,스릴러",주연,0.0,522.0,,
36,에릭 로버츠의 불사조,The Immortals,1995,미국,"범죄,액션",주연,0.0,124.0,,
37,배드 컴파니,Nature Of The Beast / Bad Company,1995,미국,"범죄,스릴러",주연,,,,
38,센세이션,Sensation,1994,미국,"드라마,성인물(에로),스릴러",주연,0.0,683.0,,
39,프리폴,Freefall,1994,미국,"액션,어드벤처,드라마",주연,,,,
40,베스트 캅,The Hard Truth,1993,미국,"범죄,스릴러,액션",주연,0.0,1969.0,,
41,론리 하트,Lonely Hearts,1993,미국,스릴러,주연,0.0,962.0,,
42,더 베스트,By The Sword,1993,미국,드라마,주연,0.0,6620.0,,
43,베스트 오브 더 베스트2,Best Of The Best 2,1993,미국,액션,주연,0.0,44665.0,,
44,앰브런스,Ambulance,1991,미국,공포(호러),주연,0.0,33447.0,,
45,신기루,Mirage,1987,중국,드라마,주연,0.0,19915.0,,
46,폭주기관차,Runaway Train,1985,미국,액션,주연,0.0,44569.0,108000.0,42.0
