,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,몬스터 패밀리,Monster Family,2017,독일,애니메이션,주연(목소리),2941183700.0,397633.0,2941183700.0,397633.0
1,리틀 보이,Little Boy,2015,"미국,멕시코","드라마,전쟁",주연,100778300.0,14343.0,100778300.0,14343.0
2,벨,Belle,2013,영국,드라마,주연-레이디 맨스필드 역역,,,,
3,워 호스,War Horse,2011,미국,"전쟁,드라마",조연,734302500.0,102195.0,734302500.0,102195.0
4,영혼을 빌려드립니다,Cold Souls,2009,미국,"코미디,드라마",주연,,,,
5,반딧불이 정원,Fireflies in the Garden,2008,미국,"가족,드라마",주연,,,,
6,워터호스,The Water Horse : Legend Of The Deep,2007,미국,"어드벤처,가족,판타지",주연-앤 맥모로우 역,629620000.0,106028.0,629017000.0,105918.0
7,크루세이드 : 타임머신,CRUSADE : A MARCH THROUGH TIME,2007,영국,"어드벤처,판타지",조연,,,,
8,세퍼레이트 라이즈,Separate Lies,2005,영국,"멜로/로맨스,스릴러,드라마",주연,,,,
9,백 투 가야,Back To Gaya,2004,독일,"애니메이션,판타지",주연,250000.0,50.0,250000.0,50.0
10,피터 셀러스의 삶과 죽음,The Life And Death Of Peter Sellers,2004,"미국,영국",드라마,주연,,,,
11,이퀼리브리엄,Equilibrium,2002,미국,"액션,드라마,SF,스릴러",주연-메리 오브라이언역,0.0,261889.0,,
12,펀치 드렁크 러브,Punch Drunk Love,2002,미국,"멜로/로맨스,코미디",주연,0.0,15594.0,4058000.0,691.0
13,체스왕 루진,The Luzhin Defense,2000,"영국,프랑스",멜로/로맨스,주연,,,,
14,트릭시,Trixie,2000,미국,코미디,주연,,,,
15,안젤라스 애쉬스,Angela's Ashes,1999,"미국,아일랜드",드라마,주연,,,,
16,더 복서,The Boxer,1998,영국,드라마,주연,0.0,1001.0,,
17,브레이킹 더 웨이브,Breaking The Waves,1996,"덴마크,아이슬란드,프랑스,노르웨이,스웨덴","드라마,뮤지컬",주연,0.0,40737.0,1258000.0,151.0
