,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,플랫라이너,Flatliners,2017,미국,"공포(호러),SF,스릴러",주연,,,,
1,인투 더 포레스트,Into the Forest,2015,캐나다,스릴러,주연,3532000.0,535.0,3532000.0,535.0
2,로렐,Laurel,2015,미국,"드라마,멜로/로맨스",주연,62368400.0,8289.0,64499400.0,8509.0
3,엑스맨: 데이즈 오브 퓨처 패스트,X-Men: Days of Future Past,2014,미국,"액션,판타지,SF,어드벤처",조연,34654558766.0,4313871.0,34654558766.0,4313871.0
4,사랑이 필요할 때,Touchy Feely,2013,미국,드라마,주연,1910000.0,324.0,1910000.0,324.0
5,더 이스트,The East,2013,"미국,영국","액션,미스터리",주연-이지 역,,,,
6,로마 위드 러브,To Rome with Love,2012,"미국,이탈리아,스페인",코미디,주연-모니카 역,1324309801.0,180743.0,1337976677.0,182633.0
7,인셉션,Inception,2010,미국,"드라마,미스터리",조연,44106546302.0,5926948.0,43481471000.0,5835017.0
8,위핏,Whip It,2009,미국,"드라마,코미디",주연,225133182.0,35241.0,221598500.0,34680.0
9,주노,Juno,2007,"미국,캐나다","드라마,코미디",주연-주노 맥거프 역,436273333.0,69011.0,436132500.0,67968.0
10,아메리칸 크라임,An American Crime,2007,미국,"범죄,드라마",주연,,,,
11,하드 캔디,Hard Candy,2005,미국,"드라마,스릴러",주연,,,,
12,마리온 브리지,Marion Bridge,2002,캐나다,드라마,주연,,,,
