,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,파워레인져스: 더 비기닝,Power Rangers,2017,미국,"액션,어드벤처,판타지,SF",조연-리타 레풀사 역역,570203561.0,72495.0,577103561.0,73875.0
1,헝거게임: 더 파이널,The Hunger Games: Mockingjay - Part 2,2015,미국,"액션,어드벤처",주연,6070679163.0,806709.0,6070679163.0,806709.0
2,러브 앤 머시,Love & Mercy,2015,미국,드라마,주연,211780800.0,26812.0,213567000.0,27291.0
3,피치 퍼펙트: 언프리티 걸즈,Pitch Perfect 2,2015,미국,"코미디,뮤지컬",감독,591516497.0,75598.0,591516497.0,75598.0
4,모든 비밀스러운 것들,Every Secret Thing,2014,미국,스릴러,주연,44937000.0,6507.0,44937000.0,6507.0
5,워크 오브 셰임,Walk of Shame,2014,미국,코미디,주연,270000.0,54.0,270000.0,54.0
6,헝거게임: 모킹제이,The Hunger Games: Mockingjay - Part 1,2014,미국,"어드벤처,SF,스릴러",주연,6400058044.0,854377.0,6400058044.0,854377.0
7,레고 무비,The Lego Movie,2014,미국,"애니메이션,코미디,액션,가족",조연-루시역(목소리),1601300200.0,236129.0,1679825800.0,246126.0
8,리틀 액시던트,Little Accidents,2014,미국,드라마,주연-다이앤 도일역,,,,
9,무비 43,Movie 43,2013,미국,코미디,감독,,,,
10,헝거게임: 판엠의 불꽃,The Hunger Games,2012,미국,"액션,드라마,SF",주연-에피 트링켓역,4478418000.0,607956.0,4480013734.0,608222.0
11,맨 온 렛지,Man on a Ledge,2012,미국,"범죄,스릴러",주연-리디아 앤더슨 역,4393531500.0,591841.0,4393531500.0,591841.0
12,피플 라이크 어스,People Like Us,2012,미국,드라마,주연-프랭키 역역,,,,
13,디테일스,The Details,2011,미국,코미디,주연-닐리 랑역,22158500.0,2909.0,22158500.0,2909.0
14,아워 이디엇 브라더,Our Idiot Brother,2011,미국,"드라마,가족,코미디",주연,197192477.0,27010.0,197482977.0,27045.0
15,쓰리 데이즈,The Next Three Days,2010,"미국,프랑스","범죄,스릴러,액션",주연-라라 브레넌역,1882542699.0,257106.0,1996084500.0,272496.0
16,"러블리, 스틸","Lovely, Still",2008,미국,"드라마,멜로/로맨스",주연,116034067.0,14790.0,123046000.0,15683.0
17,더블유,W.,2008,"미국,호주,홍콩,스위스,중국",드라마,주연,,,,
18,데이브 속 데이브,Meet Dave,2008,미국,"코미디,어드벤처",주연,,,,
19,"잭 앤 미리, 포르노 만들기",Zack and Miri Make a Porno,2008,미국,코미디,주연,,,,
20,굿바이 초콜릿,Meet Bill,2007,미국,"코미디,드라마",주연-제스역,2462796.0,311.0,2426000.0,306.0
21,슬리더,Slither,2006,미국,미스터리,주연-스탈라 역,,,1200000.0,181.0
22,인빈서블,Invincible,2006,미국,드라마,주연,,,,
23,댈트리 캘혼,Daltry Calhoun,2005,미국,"코미디,드라마",주연,,,,
24,백스터,The Baxter,2005,미국,"코미디,멜로/로맨스",주연,,,,
25,섹슈얼 라이프,Sexual Life,2005,미국,"코미디,드라마",주연-사라 역,,,,
26,하이츠,Heights,2005,미국,드라마,주연,,,,
