,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 브링크,The Brink,2017,"홍콩,중국","액션,스릴러",주연,,,,
1,손오공,Wu Kong,2017,중국,"액션,판타지,드라마",주연,,,,
2,도성풍운 2,The Man From Macao II,2015,홍콩,"액션,코미디",주연,191000.0,52.0,191000.0,52.0
3,적도,Helios,2015,홍콩,액션,주연,27026500.0,3679.0,27427500.0,3778.0
4,성범죄 수사대,SDU: Sex Duties Unit,2013,중국,"액션,코미디",주연,2850000.0,1407.0,2850000.0,1407.0
5,혈적자: 황제암살단,The Guillotines,2012,중국,"액션,드라마",주연,10555000.0,5022.0,10555000.0,5022.0
6,모터웨이: 분노의 질주,Motorway,2012,"홍콩,중국","액션,드라마,범죄",주연,6149000.0,1220.0,6149000.0,1220.0
7,검우강호,Reign of Assasins,2010,"홍콩,중국,미국",액션,주연,2281559914.0,318157.0,2243194500.0,312334.0
8,동문,Rebellion,2009,홍콩,"액션,범죄",주연,,,,
9,폭렬성시,Rule#1,2008,"홍콩,싱가포르",액션,주연,1694000.0,418.0,1694000.0,418.0
10,군계,Shamo,2007,홍콩,액션,주연,,,,
11,남아본색,Invisible Target,2007,"홍콩,중국","액션,범죄",주연-방혁위 역,,,,
12,이사벨라,Isabella,2006,홍콩,"멜로/로맨스,범죄",조연,0.0,1254.0,5628000.0,901.0
13,다이어리,Diary,2006,홍콩,스릴러,주연,,,,
14,와호,Operation Undercover,2006,홍콩,"액션,드라마,범죄",주연,,,,
15,흑백전장,Colour Of The Loyalty,2005,홍콩,"범죄,드라마",주연,,,,
16,아적대구부모,"In-Laws, Out-Laws",2004,홍콩,코미디,주연,,,,
17,정장추녀자 2004,Love Is a Many Stupid Thing,2004,홍콩,코미디,주연,,,,
18,무간도2 - 혼돈의 시대,INFERNAL AFFAIRS II,2003,홍콩,"범죄,드라마",주연,0.0,29120.0,14820500.0,2567.0
19,백분백감각 2003,Feel 100% 2003,2003,홍콩,"코미디,멜로/로맨스",주연,,,,
20,심조주걸륜,Hidden Track,2003,홍콩,멜로/로맨스,주연,,,,
21,비호웅사,The New Option,2002,홍콩,"액션,드라마",주연,,,,
