,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,은혼,Gintama,2017,일본,"액션,어드벤처,코미디",주연,148853500.0,18323.0,148853500.0,18323.0
1,너의 췌장을 먹고 싶어,Let Me Eat Your Pancreas,2017,일본,드라마,주연,3705621800.0,465495.0,3705621800.0,465495.0
2,보더 2 : 속죄,BORDER2,2017,일본,"미스터리,판타지,범죄,드라마",주연-이시카와 안고역,,,,
3,뮤지엄,Museum,2016,일본,"범죄,스릴러",주연,16312000.0,2056.0,16312000.0,2056.0
4,테라포마스,Terraformars,2016,일본,"액션,공포(호러),SF",주연,,,,
5,루팡 3세 무삭제판,Lupin The Third,2014,일본,"액션,범죄,어드벤처",주연,4000.0,1.0,4000.0,1.0
6,캡틴 하록,Harlock : Space Pirate,2013,일본,"애니메이션,어드벤처,SF",주연-하록역(목소리),134005500.0,17977.0,134005500.0,17977.0
7,부도리의 꿈,The Life of Guskou Budori,2012,일본,애니메이션,주연-부도리역(목소리),123787500.0,18981.0,123787500.0,18981.0
8,부도리의 꿈(감독판),THE LIFE OF BUDORI GUSUKO,2012,일본,"애니메이션,판타지,드라마",주연-부도리역(목소리),7551000.0,1033.0,7551000.0,1033.0
9,딱따구리와 비,The woodsman and the rain,2012,일본,"드라마,코미디",주연,12382000.0,1703.0,12660000.0,1735.0
10,크로우즈 제로 2,Crows Zero 2,2009,일본,액션,주연,,,,
11,꽃보다 남자,Boys Over Flowers,2008,일본,멜로/로맨스,주연,851004500.0,139217.0,1016973500.0,165593.0
12,키사라기 미키짱,Kisaragi,2007,일본,"코미디,미스터리",주연-이에모토역,12004983.0,1672.0,13033500.0,1785.0
13,하이랜더 : 복수의 전사,Highlander : The Search for Vengeance,2007,미국,"애니메이션,액션,판타지,SF",주연-코린 마크라우역(목소리),,,,
14,크로우즈 제로,Crows Zero,2007,일본,"스릴러,액션",주연,142006500.0,22097.0,142006500.0,22097.0
15,명탐정 코난 : 검은 조직과의 대결,"Detective Conan, Kurono Sosikitono Taiketsu",2007,일본,"미스터리,스릴러,드라마",주연-쿠도 신이치역,,,,
16,워터스,Waters,2006,일본,"코미디,드라마",주연-료헤이역,0.0,2502.0,15930500.0,2494.0
17,유실물,Ghost Train,2006,일본,공포(호러),주연-전차 운전사 슌이치역,0.0,317439.0,1732887500.0,284426.0
18,명탐정 코난 : 작별까지의 프롤로그,Detective Conan - The Letter of Challenge,2006,일본,미스터리,주연-쿠도 신이치역,,,,
19,이웃 13호,The Neighbor No.Thirteen,2004,일본,"공포(호러),스릴러",주연,,,798000.0,162.0
20,로보콘,Robot Contest,2003,일본,"코미디,드라마",주연,,,,
