,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,파리의 밤이 열리면,Open at Night,2016,프랑스,코미디,주연,43120600.0,5877.0,43120600.0,5877.0
1,이터너티,Eternite,2016,프랑스,멜로/로맨스,주연,34559100.0,4647.0,34559100.0,4647.0
2,마이크롭 앤 가솔린,Microbe and Gasoline,2015,프랑스,"코미디,드라마",주연-마리-테레스역,33781400.0,4339.0,34081400.0,4399.0
3,무드 인디고,Mood Indigo,2013,"프랑스,벨기에","드라마,판타지",주연,375764100.0,46666.0,378103230.0,46998.0
4,테레즈 데케루,Therese Desqueyroux,2012,프랑스,드라마,주연,9716500.0,1334.0,9716500.0,1334.0
5,시작은 키스!,Delicacy,2011,프랑스,"코미디,멜로/로맨스",주연-나탈리 켈역,250232000.0,32626.0,252250900.0,32880.0
6,뷰티풀 라이즈,Beautiful Lies,2010,프랑스,"멜로/로맨스,코미디",주연,6445500.0,903.0,6445500.0,903.0
7,코코 샤넬,Coco Before Chanel,2009,프랑스,드라마,주연-가브리엘 샤넬 역,1559386698.0,210018.0,1534300000.0,206769.0
8,함께 있을 수 있다면,"Hunting and Gathering / Ensemble, C'Est Tout",2007,프랑스,"드라마,멜로/로맨스",주연,,,,
9,프라이스리스,Priceless,2006,프랑스,"코미디,드라마,멜로/로맨스",주연,850396500.0,129645.0,850445500.0,127098.0
10,다빈치 코드,The Da Vinci Code,2006,미국,"미스터리,스릴러",주연-소피 느부역,0.0,3339082.0,18873057800.0,3022936.0
11,사랑은 타이밍,The Russian Dolls,2005,프랑스,"코미디,멜로/로맨스",주연,0.0,1532.0,9012000.0,1488.0
12,인게이지먼트,A Very Long Engagement,2004,프랑스,"드라마,전쟁,미스터리",주연,0.0,35400.0,203299500.0,31214.0
13,샤이닝 스타,Nowhere To Go But Up,2003,프랑스,멜로/로맨스,주연,,,,
14,더티 프리티 씽,Dirty Pretty Things,2002,영국,"드라마,스릴러",주연,,,,
15,좋은걸 어떡해,"God Is Great, I'm Not",2001,프랑스,"멜로/로맨스,코미디",주연,0.0,41.0,,
16,아멜리에,Amelie Of Montmartre,2001,프랑스,"코미디,판타지",주연,0.0,157562.0,16932000.0,2226.0
17,아멜리에 2,The Beating Of The Butterfly's Wings,2000,프랑스,"코미디,드라마,멜로/로맨스",주연,,,,
