,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,들꽃,Wild Flowers,2014,한국,드라마,조연,7306300.0,965.0,8254700.0,1295.0
1,이사,Before the Moving,2014,한국,드라마,주연,,,,
2,찡찡 막막,"So Very, Very",2013,한국,"멜로/로맨스,드라마",주연,249500.0,51.0,249500.0,51.0
3,질식,Suffocation,2012,한국,"드라마,가족",주연,,,373408.0,224.0
4,그의 인상,Vague Figure,2010,한국,"드라마,기타",주연,,,,
5,다문입술,Inspection of the Memory,2010,한국,"드라마,스릴러",주연,,,0.0,0.0
6,"로맨틱 무브먼트, 서울",Romantic Movement in SEOUL,2010,한국,드라마,주연-민태역,,,,
7,여수영화,YEOSU,2010,한국,드라마,주연-가이드역,,,,
8,하프라인,Half Line,2010,한국,기타,주연,,,,
9,위대한 선수,The Great Player,2009,한국,코미디,주연-오과장역,,,0.0,0.0
10,열정 가득한 이들,Passionate People,2007,한국,드라마,주연,,,,
11,운수 좋은 날,Lucked Out,2005,한국,드라마,주연,,,,
12,정말 큰 내 마이크,My Really Big Mike,2005,한국,드라마,주연,,,,
13,눈,,2003,한국,,주연,,,,
