,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,널 기다리며,Missing You,2015,한국,스릴러,조연-민수역,5234303336.0,635235.0,5234303336.0,635235.0
1,조난자들,Intruders,2012,한국,"미스터리,스릴러",주연-학수역,101958500.0,13190.0,101958500.0,13190.0
2,사라오름,Rise Above,2012,"한국,영국",드라마,주연-현철역,,,0.0,0.0
3,마이 웨이,My Way,2011,한국,"전쟁,액션,드라마",조연-광춘 역,15994803000.0,2142622.0,15995187000.0,2142670.0
4,꿈은 이루어진다,On the Pitch,2010,한국,"코미디,드라마",조연-안계수 무전병역,730581233.0,103627.0,718090000.0,101698.0
5,날강도,Heart Robber,2010,한국,드라마,주연,,,,
6,나쁜 놈이 더 잘 잔다,A Good Night's Sleep for the Bad,2009,한국,"드라마,범죄",주연-종길역,12507881.0,1693.0,12311500.0,1666.0
7,인사동 스캔들,Insadong Scandal,2009,한국,"드라마,범죄,액션",각색,7900084842.0,1206101.0,7780811000.0,1187684.0
8,그림자 살인,Private eye,2009,한국,"미스터리,스릴러,사극,범죄",조연-민수현역,12805808556.0,1914779.0,12659065000.0,1892467.0
9,해부학 교실,Cadaver,2007,한국,"공포(호러),스릴러",주연-기범역,0.0,622400.0,3627352500.0,574302.0
10,황진이,Hwang Jin Yi,2007,한국,"드라마,멜로/로맨스",조연-괴똥이역,0.0,1270644.0,7764369000.0,1191810.0
11,해변의 여인,Woman On The Beach,2006,한국,"드라마,멜로/로맨스",조연-큰 횟집 종업원/오토바이 남역,0.0,225388.0,1010238200.0,159711.0
12,각설탕,Lump of Sugar,2006,한국,드라마,조연-철이역,0.0,1446820.0,7631785700.0,1265508.0
13,음란서생,Forbidden Quest,2006,한국,"사극,코미디",단역-정서역,0.0,2576022.0,14944551700.0,2304368.0
14,다섯 개의 시선,If You Were Me,2004,한국,다큐멘터리,주연-현이역,0.0,12621.0,43699000.0,6593.0
15,알포인트,R - Point,2004,한국,전쟁,주연-장영수 병장역,0.0,1689000.0,6793688000.0,1068362.0
16,해피 에로 크리스마스,Happy Erotic Christmas,2003,한국,드라마,단역-조동관역,0.0,726783.0,459220000.0,71441.0
17,올드보이,Old Boy,2003,한국,스릴러,조연-소년 대수역,0.0,3269000.0,2007208000.0,310021.0
18,고양이를 부탁해,Take Care Of My Cat,2001,한국,드라마,단역-엄찬용역,0.0,24182.0,923000.0,156.0
19,화엄경,The Avatamska Sutra,1993,한국,"드라마,멜로/로맨스",주연-선재역,0.0,0.0,638000.0,280.0
