,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,한 솔로: 스타워즈 스토리,Solo: A Star Wars Story,2018,미국,"액션,SF",주연,1964309778.0,213986.0,1964276778.0,213980.0
1,충격과 공포,SHOCK and AWE,2017,미국,드라마,주연,,,,
2,쓰리 빌보드,"Three Billboards Outside Ebbing, Missouri",2017,미국,"코미디,범죄,드라마",주연,800125700.0,97480.0,800125700.0,97480.0
3,혹성탈출: 종의 전쟁,WAR FOR THE PLANET OF THE APES,2017,미국,"액션,어드벤처,드라마,SF",주연-콜로넬 역역,16854482778.0,2051315.0,16854482778.0,2051315.0
4,지랄발광 17세,The edge of seventeen,2016,미국,"코미디,드라마",주연,656251800.0,83258.0,656251800.0,83258.0
5,나우 유 씨 미 2,Now You See Me 2,2016,미국,"범죄,액션",주연,25116690113.0,3100113.0,25116690113.0,3100113.0
6,트리플 9,Triple 9,2016,미국,"범죄,스릴러",주연,365164300.0,47197.0,365164300.0,47197.0
7,헝거게임: 더 파이널,The Hunger Games: Mockingjay - Part 2,2015,미국,"액션,어드벤처",주연,6070679163.0,806709.0,6070679163.0,806709.0
8,헝거게임: 모킹제이,The Hunger Games: Mockingjay - Part 1,2014,미국,"어드벤처,SF,스릴러",주연,6400058044.0,854377.0,6400058044.0,854377.0
9,아웃 오브 더 퍼니스,Out of the Furnace,2014,미국,"범죄,드라마,스릴러",조연,,,270000.0,54.0
10,터키,Free Birds,2013,미국,"애니메이션,코미디",주연(목소리),790848700.0,113795.0,790848700.0,113795.0
11,헝거게임: 캣칭 파이어,The Hunger Games: Catching Fire,2013,미국,"판타지,액션",주연-헤이미치 에버내시역,7850816000.0,1125739.0,7863572734.0,1127329.0
12,나우 유 씨 미 : 마술사기단,Now You See Me,2013,미국,"범죄,액션,스릴러",주연-메리트 오스본역,19146691869.0,2718227.0,19146757869.0,2718237.0
13,세븐 싸이코패스,Seven Psychopaths,2012,영국,코미디,주연,22319841.0,3135.0,23180841.0,3264.0
14,램파트,RAMPART,2011,미국,"범죄,드라마",주연-데이브 브라운역,,,,
15,분라쿠,Bunraku,2010,미국,"액션,판타지",조연-바텐더 역,,,,
16,디펜더,Defendor,2009,"캐나다,미국,영국","범죄,액션",주연-아서 포핑턴/ 디펜더 역역,,,,
17,좀비랜드,Zombieland,2009,미국,"코미디,공포(호러)",주연,,,,
18,세븐 파운즈,Seven Pounds,2008,미국,드라마,주연,1528213109.0,232972.0,1506896000.0,229799.0
19,세미-프로,Semi-Pro,2008,미국,코미디,주연,,,,
20,"헬로우, 서퍼","Surfer, Dude",2008,미국,코미디,주연,,,,
21,트랜스 시베리아,Transsiberian,2007,"스페인,독일,영국","범죄,드라마,미스터리,스릴러",주연-로이역,,,0.0,0.0
22,프레리 홈 컴패니언,A Prairie Home Companion,2006,미국,코미디,주연-레프티 역,0.0,2052.0,12709000.0,1872.0
23,스캐너 다클리,A Scanner Darkly,2006,미국,"범죄,미스터리,애니메이션",주연-어니 럭맨역,,,,
24,프리 지미,Free Jimmy,2006,"노르웨이,영국","애니메이션,코미디",주연(목소리),,,,
25,노스 컨츄리,North Country,2005,미국,드라마,조연-빌 화이트역,0.0,14300.0,79418600.0,12213.0
26,빅 화이트,The Big White,2005,미국,"코미디,드라마,범죄",주연,0.0,6430.0,44578500.0,6769.0
27,프라이즈 위너,"The Prize Winner of Defiance, Ohio",2005,미국,드라마,주연,,,,
28,애프터 선셋,After The Sunset,2004,미국,코미디,주연,0.0,331595.0,1686015000.0,270895.0
29,고 퍼더,Go Further,2003,캐나다,다큐멘터리,주연,,,,
30,스코치트,Scorched,2003,미국,"코미디,범죄",주연,,,,
31,플레이 투 더 본,Play It To The Bone,1999,미국,"코미디,드라마",주연-빈스역,0.0,4420.0,,
32,글래스,Grass,1999,캐나다,다큐멘터리,주연(목소리),,,,
33,생방송 에드TV,Edtv,1998,미국,코미디,주연,0.0,8195.0,,
34,팔메토,Palmetto,1998,"독일,미국","범죄,미스터리",주연,,,,
35,하이 로 컨츄리,The Hi-Lo Country,1998,"미국,영국,독일","드라마,멜로/로맨스,서부극(웨스턴)",주연,,,,
36,웰컴 투 사라예보,Welcome To Sarajevo,1997,"영국,미국","전쟁,드라마",주연-플린 역역,,,,
37,선체이서,The Sunchaser,1996,미국,드라마,주연,0.0,2336.0,,
38,래리플린트,The People Vs. Larry Flynt,1996,미국,"드라마,코미디",주연,0.0,49501.0,,
39,킹 핀,King Pin,1996,미국,코미디,주연,0.0,31004.0,,
40,머니 트레인,Money Train,1995,미국,액션,주연,0.0,109535.0,,
41,올리버 스톤의 킬러,Natural Born Killer,1994,미국,액션,주연,0.0,57913.0,,
42,덩크슛,White Men Can'T Jump,1992,미국,"드라마,코미디",주연,0.0,22188.0,,
