,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아버지와 이토씨,My Dad and Mr. Ito,2016,일본,"드라마,코미디",주연,45256400.0,6045.0,45256400.0,6045.0
1,뷰티 인사이드,The Beauty Inside,2015,한국,"판타지,멜로/로맨스",주연-우진74역,16155795131.0,2054297.0,16184831031.0,2057896.0
2,노다메 칸타빌레 최종악장,Nodame Cantabile: The Movie II,2010,일본,드라마,주연,289590500.0,39585.0,290790500.0,39785.0
3,노다메 칸타빌레 Vol.1,Nodame Cantabile: The Movie I,2009,일본,"코미디,드라마,뮤지컬",주연-노다 메구미역,561780176.0,77074.0,552960000.0,75847.0
4,신부의 수상한 여행가방,Killer Virgin Road,2009,일본,"코미디,스릴러",주연-히로코 역,63556581.0,8452.0,62607000.0,8326.0
5,구구는 고양이다,Goo Goo the Cat,2008,일본,"코미디,드라마",주연,263199962.0,38658.0,265524500.0,39003.0
6,나오코,Naoko-winning runners,2008,일본,"멜로/로맨스,드라마",주연,15787000.0,2418.0,16504000.0,2541.0
7,무지개 여신,Rainbow Song,2006,일본,멜로/로맨스,주연-아오이역,0.0,42842.0,259297500.0,41888.0
8,노다메 칸타빌레,Nodame Cantabile,2006,일본,"드라마,코미디,멜로/로맨스",주연,,,,
9,웃음의 대천사,Arch Angels,2006,일본,"판타지,코미디",주연,,,,
10,행복의 스위치,Switch for Myself,2006,일본,드라마,주연-이나다 레이 역,,,1538000.0,322.0
11,거북이는 의외로 빨리 헤엄친다,Kame wa igai to hayaku oyogu,2005,일본,"드라마,코미디",주연-스즈메 역,,,3294500.0,545.0
12,썸머 타임 머신 블루스,Summer Time Machine Blues,2005,일본,"코미디,SF",주연,,,,
13,스윙걸즈,Swing Girls,2004,일본,코미디,주연-스즈키 토모코역,0.0,55672.0,345493500.0,55648.0
14,칠석의 여름,Summer Of Chilsuk,2003,일본,"드라마,멜로/로맨스",주연,,,,
