,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,원 나이트 스탠드 - 찢어진 웨딩드레스,Broken Vows,2016,미국,"스릴러,미스터리,드라마",주연,300000.0,50.0,300000.0,50.0
1,피터와 드래곤,Pete's Dragon,2016,미국,"어드벤처,가족,판타지",주연,865600600.0,109137.0,865600600.0,109137.0
2,언컨셔스,Unconscious,2014,미국,"공포(호러),스릴러",주연,,,,
3,파이오니아,Pioneer,2013,"노르웨이,독일,스웨덴,프랑스,핀란드","액션,스릴러",주연,2580000.0,570.0,2580000.0,570.0
4,히든 문,Hidden Moon,2012,"멕시코,미국","멜로/로맨스,미스터리",주연,,,,
5,호세마리아 신부의 길,There Be Dragons,2011,"미국,아르헨티나,스페인",드라마,주연,13931000.0,2274.0,14169000.0,2347.0
6,라이츠 오브 패시지,Rites of Passage,2011,미국,"코미디,스릴러",주연-베니 역역,,,,
7,더 툼,The Tomb,2009,미국,"공포(호러),스릴러",주연-조나단 메릭역,,,,
8,P2,P2,2007,미국,"공포(호러),스릴러",주연,,,,
9,위어즈빌,Weirdsville,2007,캐나다,"코미디,범죄,드라마",주연,,,,
10,게임 오브 데어 라이브스,The Game Of Their Lives,2005,미국,드라마,주연,,,,
11,포 페더스,The Four Feathers,2002,미국,"전쟁,어드벤처,드라마",주연,,,,
12,소울 서바이버,Soul Survivors,2001,미국,"공포(호러),스릴러",주연,0.0,1010.0,,
13,더 클레임,The Claim,2000,"영국,프랑스,캐나다","서부극(웨스턴),멜로/로맨스,드라마",주연,,,,
