,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 매니저,Trust Me,2014,미국,"드라마,코미디",조연-게리 역역,200000.0,20.0,200000.0,20.0
1,러덜리스,Rudderless,2014,미국,"코미디,드라마",감독,613113720.0,77867.0,615574220.0,78193.0
2,세션 : 이 남자가 사랑하는 법,The Sessions,2012,미국,드라마,주연,98352500.0,12430.0,98352500.0,12430.0
3,싱글 샷,A Single Shot,2012,"미국,캐나다,영국","범죄,스릴러",주연-피트역,,,,
4,박물관을 털어라,The Maiden Heist,2009,미국,"코미디,액션,범죄",주연,270000.0,54.0,270000.0,54.0
5,멕라이언의 프로포즈,The Deal,2008,"캐나다,미국","코미디,멜로/로맨스",주연,,,,
6,바비,Bobby,2006,미국,드라마,주연-폴역,22454545.0,2867.0,22102000.0,2821.0
7,에브리원 히어로,Everyone's Hero,2006,"캐나다,미국","애니메이션,어드벤처,코미디",주연,,,,
8,에드몬드의 범죄,Edmond,2005,미국,"드라마,스릴러",주연,,,,
9,셀룰러,Cellular,2004,미국,"액션,범죄",주연-밥 무니역,0.0,45.0,311000.0,47.0
10,인 에너미 핸즈,In Enemy Hands,2004,미국,"전쟁,드라마,스릴러",주연,,,,
11,러브 인 카지노,The Cooler,2003,미국,"드라마,멜로/로맨스,코미디",주연,,,,
12,쥬라기 공원 3,Jurassic Park 3,2001,미국,"SF,어드벤처",주연,0.0,518684.0,,
13,포커스,Focus,2001,미국,"드라마,멜로/로맨스",주연,,,,
14,스테이트 앤 메인,State and Main,2000,"프랑스,미국","코미디,드라마",조연,,,,
15,머더 게임,A Slight Case Of Murder,1999,미국,"코미디,범죄,미스터리",주연,,,,
16,미스테리 맨,Mystery Men,1999,미국,"액션,코미디,판타지",주연,,,,
17,마우스 킹 2,The Secret Of NIMH 2: Timmy To The Rescue,1998,미국,애니메이션,주연(목소리),,,,
18,미녀 사기꾼,The Con,1998,미국,"코미디,범죄,드라마",주연,,,,
