,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,꾼,The Swindlers,2017,한국,범죄,주연,31313568795.0,4018341.0,31313568795.0,4018341.0
1,돈,,2017,한국,범죄,주연-번호표역,,,,
2,스플릿,SPLIT,2016,한국,드라마,주연,6102712539.0,758195.0,6102712539.0,758195.0
3,대배우,THE GREAT ACTOR,2015,한국,코미디,단역-까메오역,1245426228.0,169855.0,1246200228.0,169984.0
4,더 테너 리리코 스핀토,The Tenor Lirico Spinto,2014,한국,드라마,주연,391554441.0,50514.0,391554441.0,50514.0
5,더테너 리리코 스핀토 감독판,The Tenor Lirico Spinto,2014,한국,드라마,주연,,,70000.0,12.0
6,마이 라띠마,Mai Ratima,2012,한국,"멜로/로맨스,드라마","감독,시나리오(각본)",49305300.0,7172.0,49305300.0,7172.0
7,심야의 F.M.,Midnight F.M.,2010,한국,"스릴러,범죄","주연-청취자, 한동수역",9328562568.0,1228673.0,9179188500.0,1208310.0
8,희망의 별 - 이퀘지레템바,The Star of Hope - Ikhwezilethemba,2010,한국,다큐멘터리,주연-나레이션역(목소리),8679270.0,1312.0,8583000.0,1298.0
9,비밀애,Secret Love,2009,한국,멜로/로맨스,주연,1227023002.0,167132.0,1206962000.0,164252.0
10,초대,Invitation,2009,한국,기타,"감독,주연",,,,
11,순정만화,Crush On You,2008,한국,"멜로/로맨스,코미디",주연,4674779333.0,730343.0,4682641000.0,731706.0
12,나도 모르게,Out of My Intention,2007,한국,드라마,"감독,스토리,시나리오(각본)",,,1998000.0,514.0
13,황진이,Hwang Jin Yi,2007,한국,"드라마,멜로/로맨스",주연-놈이역,0.0,1270644.0,7764369000.0,1191810.0
14,가을로,Traces of Love,2006,한국,"멜로/로맨스,드라마",주연,0.0,707820.0,3653445400.0,601733.0
15,야수,Running Wild,2005,한국,액션,주연,0.0,1016152.0,5339725500.0,837011.0
16,장님은 무슨 꿈을 꿀까요,How Does the Blind Dream,2005,한국,"드라마,판타지,멜로/로맨스",감독,,,,
17,남극일기,Antarctic Journal,2004,한국,스릴러,주연,0.0,1057311.0,5478113500.0,871235.0
18,여자는 남자의 미래다,Woman Is The Future Of Man,2004,한국,드라마,주연-이문호역,0.0,284872.0,778809500.0,116662.0
19,올드보이,Old Boy,2003,한국,스릴러,주연-이우진역,0.0,3269000.0,2007208000.0,310021.0
20,내츄럴시티,Natural City,2003,한국,SF,주연,0.0,224182.0,,
21,거울속으로,Into the Mirror,2003,한국,공포(호러),주연,0.0,719234.0,,
22,자전거 소년,The Bike Boy,2003,한국,드라마,"감독,편집,시나리오(각본)",,,,
23,봄날은 간다,One Fine Spring Day,2001,한국,드라마,주연,0.0,376642.0,14433500.0,2448.0
24,리베라메,Libera Me,2000,한국,"드라마,미스터리,범죄,액션",조연-김현태역,0.0,533560.0,,
25,가위,A nightmare,2000,한국,"공포(호러),미스터리",주연,0.0,334364.0,,
26,동감,Ditto,2000,한국,"멜로/로맨스,판타지",주연,0.0,346279.0,1299000.0,422.0
27,MOB 2025 1편 : 전운,MOB 2025,2000,한국,"SF,액션",주연,,,,
28,주유소 습격사건,Attack The Gas Station!,1999,한국,"코미디,액션",주연-페인트역,0.0,2310000.0,,
29,바이 준,Bye June,1998,한국,"드라마,멜로/로맨스",주연,0.0,4662.0,,
