,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,새폴더2,New Folder 2,2015,한국,"드라마,코미디",주연,3352000.0,518.0,3352000.0,518.0
1,나쁜 수업,Bad Class,2015,한국,드라마,주연-조현아역,5000.0,1.0,5000.0,1.0
2,7공주 대리운전,,2015,한국,코미디,주연,4308000.0,894.0,4308000.0,894.0
3,두 번째 엄마 무삭제판,,2014,한국,멜로/로맨스,주연,28000.0,4.0,28000.0,4.0
4,두 번째 엄마,,2014,한국,"멜로/로맨스,드라마",주연,1010000.0,239.0,1010000.0,239.0
5,환상,Fantasy,2014,한국,멜로/로맨스,주연,4693000.0,987.0,4693000.0,987.0
6,거짓말 2014,,2014,한국,멜로/로맨스,주연,4751000.0,1058.0,4751000.0,1058.0
7,사토미를 찾아라,Where's Satomi?,2014,한국,"코미디,멜로/로맨스",주연,13164000.0,2595.0,13164000.0,2595.0
8,먹이사슬,food chain,2014,한국,멜로/로맨스,주연,10224000.0,2070.0,10224000.0,2070.0
9,거짓말2014 무삭제감독판,,2014,한국,멜로/로맨스,주연,,,,
10,환상-금지된 정사버전,,2014,한국,멜로/로맨스,주연,,,14000.0,2.0
