,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,물괴,Monstrum,2018,한국,"액션,사극",조연-심운역,,,,
1,게이트-완결판,,2018,한국,"범죄,코미디",주연,1348000.0,1339.0,1348000.0,1339.0
2,게이트,Gate,2017,한국,"범죄,코미디",조연,820756100.0,101173.0,821041100.0,101266.0
3,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2017,한국,"판타지,드라마",단역,115699634137.0,14410931.0,115706188137.0,14411525.0
4,강철비,Steel Rain,2017,한국,"액션,드라마",조연,35489666466.0,4452755.0,35489666466.0,4452755.0
5,군함도,The Battleship Island,2017,한국,"액션,드라마",조연-윤학철역,50510565168.0,6592151.0,50510565168.0,6592151.0
6,중2라도 괜찮아,,2017,한국,"드라마,코미디,액션",주연-백운도사역,,,,
7,머니백,Snatch Up,2016,한국,"액션,드라마",주연,417495600.0,53610.0,417495600.0,53610.0
8,리얼,REAL,2016,한국,액션,조연-노염역,3357312530.0,470105.0,3357612530.0,470135.0
9,불한당: 나쁜 놈들의 세상,The Merciless,2016,한국,"범죄,액션,드라마",조연,7654331125.0,951797.0,7671017125.0,953685.0
10,재심,New Trial,2016,한국,드라마,주연,19264792637.0,2421011.0,19266319637.0,2421197.0
11,판도라,Pandora,2016,한국,"드라마,스릴러",주연,36064461064.0,4583645.0,36067171064.0,4584800.0
12,대배우,THE GREAT ACTOR,2015,한국,코미디,주연-깐느 박역,1245426228.0,169855.0,1246200228.0,169984.0
13,내부자들: 디 오리지널,Inside Men: The Original,2015,한국,"범죄,드라마",조연,16973885275.0,2083999.0,16979714975.0,2084868.0
14,조선마술사,The Magician,2015,한국,드라마,조연,4650016527.0,628576.0,4650016527.0,628576.0
15,내부자들,Inside Men,2015,한국,"범죄,드라마",조연-장필우역,56598130057.0,7072021.0,56599221057.0,7072507.0
16,서부전선,The Long Way Home,2015,한국,"전쟁,드라마",조연,4751661400.0,609063.0,4751661400.0,609063.0
17,치외법권,Untouchable Lawmen,2015,한국,액션,조연-왕팀장역,2664941005.0,346483.0,2664941005.0,346483.0
18,뷰티 인사이드,The Beauty Inside,2015,한국,"판타지,멜로/로맨스",조연-우진 부역,16155795131.0,2054297.0,16184831031.0,2057896.0
19,"협녀, 칼의 기억",Memories of the Sword,2015,한국,"사극,액션",조연-스승역,3360045489.0,431310.0,3360045489.0,431310.0
20,암살,Assassination,2015,한국,"액션,드라마",조연-강인국역,98463132781.0,12705700.0,98467187781.0,12706663.0
21,은밀한 유혹,Perfect Proposal,2015,한국,"멜로/로맨스,범죄",조연-회장역,1137666247.0,145547.0,1138017247.0,145664.0
22,허삼관,Chronicle of a Blood Merchant,2014,한국,드라마,조연-옥란부역,7405415569.0,955175.0,7410215569.0,956103.0
23,제보자,The Whistleblower,2014,한국,드라마,주연-이장환 박사역,13515762802.0,1755181.0,13515762802.0,1755181.0
24,타짜-신의 손,Tazza-The Hidden Card,2014,한국,드라마,주연-꼬장역,32373120927.0,4015361.0,32373120927.0,4015361.0
25,해적: 바다로 간 산적,The Pirates,2014,한국,어드벤처,조연,66370682706.0,8666046.0,66372140706.0,8666208.0
26,소수의견,The Unfair,2013,한국,드라마,조연-박재호역,2891431205.0,383332.0,2892681205.0,383582.0
27,군도: 민란의 시대,KUNDO : Age of the Rampant,2013,한국,"사극,액션","주연-땡추역,조연",36987755999.0,4774895.0,36990394499.0,4775811.0
28,무명인,Genome Hazard,2013,"한국,일본","미스터리,스릴러,액션",조연-Yu Gangjin역,25063600.0,3199.0,25063600.0,3199.0
29,관능의 법칙,Venus Talk,2013,한국,"드라마,코미디",조연-최성재역,5858771500.0,781516.0,5858771500.0,781516.0
30,또 하나의 약속,Another Family,2013,한국,드라마,조연-김교익역,3536495400.0,497994.0,3541402400.0,498670.0
31,더 테러 라이브,"The Terror, LIVE",2013,한국,"범죄,기타",주연-차대은역,39866712881.0,5583596.0,39869706381.0,5584139.0
32,신세계,New World,2012,한국,"범죄,액션",단역-석회장역,34881330905.0,4682492.0,34882073905.0,4682614.0
33,베를린,The Berlin File,2012,한국,액션,조연,52354931637.0,7166199.0,52357124637.0,7166532.0
34,26년,26 Years,2012,한국,"액션,드라마","주연-김갑세역,조연-김갑세역",21241327145.0,2963449.0,21242367145.0,2963652.0
35,남영동1985,National Security,2012,한국,드라마,주연-이두한역,2358629601.0,332619.0,2358707101.0,332643.0
36,회사원,A Company Man,2012,한국,"액션,드라마",조연-반지훈역,8321175000.0,1110523.0,8321175000.0,1110523.0
37,후궁 : 제왕의 첩,The Concubine,2012,한국,"사극,멜로/로맨스",조연-내시감역,19330302500.0,2636320.0,19330736000.0,2636385.0
38,"봄, 눈","Spring, Snow",2012,한국,드라마,주연-아버지역,143518000.0,22870.0,143518000.0,22870.0
39,백프로,Mr. Perfect,2011,한국,"코미디,드라마",조연-교장역,284106600.0,37909.0,284106600.0,37909.0
40,마스터 클래스의 산책,A Journey with Korean Masters,2011,한국,드라마,주연,1316000.0,222.0,1316000.0,222.0
41,최종병기 활,War of the Arrows,2011,한국,"사극,액션",조연-김무선 역,55827861500.0,7470633.0,55827861500.0,7470633.0
42,죽이러 갑니다,Be My Guest,2009,한국,"코미디,스릴러",주연-노동자역,1355500.0,215.0,1394500.0,222.0
43,미워도 다시 한번 2002,Forgive Me Once Again Despite Hatred 2002,2001,한국,드라마,주연,,11359.0,,
44,몽중인,The Beauty In Dream,2001,한국,"드라마,멜로/로맨스","감독,주연-이윤호역,시나리오(각본)",,4652.0,,
45,기막힌 사내들,The Happenings,1998,한국,"드라마,코미디",주연,0.0,14389.0,0.0,0.0
46,죽이는 이야기,Film-Making,1997,한국,"드라마,코미디",주연,0.0,40380.0,,
47,할렐루야,Hallelujah,1997,한국,"코미디,드라마",주연,0.0,310920.0,,
48,베이비 세일,Baby Sale,1997,한국,"코미디,드라마",주연,0.0,52763.0,,
49,3인조,Trio,1997,한국,"액션,코미디",주연-안역,0.0,36594.0,120000.0,20.0
50,미스터 콘돔,Mister Condom,1997,한국,"멜로/로맨스,코미디",주연,0.0,157032.0,,
51,쁘아종,Poison,1997,한국,멜로/로맨스,주연,0.0,10870.0,,
52,체인지,Change,1996,한국,"코미디,드라마",주연,0.0,167235.0,,
53,귀천도,The Gate Of Destiny,1996,한국,"사극,액션,SF","감독,주연,시나리오(각본)",0.0,200570.0,,
54,코르셋,Corset,1996,한국,"코미디,멜로/로맨스,드라마",주연,0.0,114777.0,,
55,런어웨이,Run Away,1995,한국,액션,주연,0.0,72274.0,,
56,개같은 날의 오후,A Hot Roof,1995,한국,"드라마,코미디",조연-덕배/도둑 1역,0.0,274568.0,,
57,엄마에게 애인이 생겼어요,Mom Has A New Boyfriend,1995,한국,멜로/로맨스,주연,0.0,62660.0,,
58,테러리스트,The Terrorist,1995,한국,액션,주연-사현역,0.0,320919.0,,
59,손톱,Deep Scratch,1994,한국,"드라마,스릴러",주연,0.0,131969.0,,
60,어린 연인,Young Lover,1994,한국,"드라마,멜로/로맨스",주연,0.0,9699.0,,
61,게임의 법칙,The Rules Of The Game,1994,한국,"드라마,액션",주연,0.0,133872.0,,
62,세상 밖으로,Out To The World,1994,한국,"드라마,코미디",주연,0.0,252609.0,,
63,비 오는 날 수채화2,Water Color Painting On A Rainy Day 2 -Zelkova Tree's Hill,1993,한국,"드라마,멜로/로맨스",주연,0.0,12316.0,,
64,"그 여자, 그 남자",The Woman And The Man,1993,한국,"멜로/로맨스,드라마",주연,0.0,217605.0,,
65,사랑의 종합병원,The General Hospital Of Love,1993,한국,"드라마,멜로/로맨스",주연,0.0,9095.0,,
66,공룡선생,Dinosaur Teacher,1992,한국,드라마,주연,0.0,7401.0,,
67,하얀전쟁,White Badge,1992,한국,"전쟁,드라마,액션",주연,,,2590000.0,1124.0
68,백치애인,A Foolish Lover,1992,한국,"드라마,멜로/로맨스",주연,0.0,17719.0,,
69,섬강에서 하늘까지,From Seom River To The Sky,1992,한국,"멜로/로맨스,드라마",주연,0.0,6815.0,,
70,아침이 오면 그대이름으로,In Your Name When The Morning Comes,1991,한국,"드라마,멜로/로맨스,범죄",주연,0.0,555.0,,
71,가을여행,Autumn Journey,1991,한국,"드라마,멜로/로맨스",주연-천호역,0.0,24848.0,,
72,사의 찬미,Death Song,1991,한국,"드라마,멜로/로맨스",주연,0.0,183760.0,,
73,하얀 비요일,A Pale Rainy Day,1991,한국,"드라마,멜로/로맨스",주연,0.0,8699.0,,
74,부활의 노래,The Song Of Resurrection,1990,한국,드라마,주연,0.0,11583.0,,
75,난 깜짝놀랄 짓을 할거야,I'M Gonna Do Something Shocking,1990,한국,드라마,주연,0.0,23983.0,,
76,있잖아요 비밀이예요,You Know What? It'S A Secret,1990,한국,드라마,주연,0.0,56229.0,,
77,비 오는 날 수채화,A Sketch Of A Rainy Day,1989,한국,"드라마,멜로/로맨스",주연-천호역,0.0,64538.0,,
78,구로 아리랑,Guro Arirang,1989,한국,드라마,주연,0.0,22912.0,,
