,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,꿈의 제인,Jane,2016,한국,드라마,주연-소현역,203379700.0,24874.0,205039700.0,25060.0
1,게임회사 여직원들,,2016,한국,드라마,주연,,,735000.0,105.0
2,손님,The Piper,2014,한국,"판타지,공포(호러)",조연-민영역,6385937880.0,828025.0,6385937880.0,828025.0
3,차이나타운,Coin Locker Girl,2014,한국,"범죄,드라마",단역-엄마 밀항자역,11989400678.0,1472006.0,11990707878.0,1472147.0
4,비치하트애솔,Bitch Heart Asshole,2014,한국,"멜로/로맨스,드라마",조연-단발머리여자역,1827700.0,279.0,1827700.0,279.0
5,현기증,Entangled,2014,한국,"가족,드라마",조연-정혜역,79449300.0,11785.0,79449300.0,11785.0
6,발광하는 현대사,Balkwang,2014,한국,애니메이션,조연-미정 목소리역(목소리),,,783000.0,108.0
7,슈우웅,Shoooo,2014,한국,기타,주연,,,,
8,서울연애,Romance In Seoul,2013,한국,드라마,주연-민지역,7106100.0,978.0,10320600.0,1547.0
9,사이비,The Fake,2013,한국,"애니메이션,스릴러",주연-영선친구1/ 폭주족4역(목소리),164274900.0,22070.0,167123900.0,22526.0
10,달이 기울면,When the Moon is on the Wane,2013,한국,"공포(호러),판타지",주연-재아역,,,266822.0,266.0
11,세이프,SAFE,2013,한국,"스릴러,드라마,공포(호러)",주연,,,256718.0,154.0
12,물고기는 말이 없다,The Fish Is Mute,2012,한국,"드라마,판타지",주연,,,86350.0,52.0
13,애드벌룬,See You Tomorrow,2011,한국,드라마,주연-효정역,,,989675.0,694.0
14,초대,Invitation,2011,한국,드라마,주연-수정역,,,396225.0,245.0
15,짐승의 끝,End of Animal,2010,한국,"판타지,드라마",주연-순영역,7898000.0,1030.0,9321500.0,1250.0
16,부서진 밤,Broken Night,2010,한국,"범죄,스릴러,액션",주연,,,115000.0,92.0
