,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,내게 남은 사랑을,My Last Love,2017,한국,드라마,단역-천목사역,182833600,27666,185301600.0,27986.0
1,여자전쟁: 봉천동 혈투,,2016,한국,드라마,주연-달구역,1534000,291,1534000.0,291.0
2,열정같은소리하고있네,YOU CALL IT PASSION,2015,한국,드라마,단역-사장역,4761399902,654407,4761399902.0,654407.0
3,돌연변이,Collective Invention,2015,한국,"드라마,코미디",조연-변 박사역,748936684,100543,748936684.0,100543.0
4,나의 독재자,My Dictator,2014,한국,드라마,주연-허 교수역,2906692546,385934,2907311546.0,386072.0
5,전국노래자랑,Born to Sing,2013,한국,"코미디,드라마",단역-최사장역,6685476000,977873,6687636000.0,978413.0
6,점쟁이들,Ghost Sweepers,2012,한국,"코미디,공포(호러)",단역-고산 선생역,6731202500,953682,6731202500.0,953682.0
7,5백만불의 사나이,A Millionaire on the Run,2012,한국,코미디,단역-목사역,739789500,104736,739789500.0,104736.0
8,아부의 왕,Mr. Xxx-Kisser,2012,한국,코미디,주연-이 회장역,3511102500,497880,3511102500.0,497880.0
9,백프로,Mr. Perfect,2011,한국,"코미디,드라마",조연-은석 아버지역,284106600,37909,284106600.0,37909.0
10,러브픽션,Love Fiction,2011,한국,"멜로/로맨스,코미디",조연-M역,13200412500,1726202,13200551500.0,1726227.0
11,네버엔딩 스토리,Never Ending Story,2011,한국,"코미디,멜로/로맨스",조연-파마 아저씨역,2106823000,283449,2106823000.0,283449.0
12,퍼펙트 게임,Perfect Game,2011,한국,드라마,단역-최 부장역,11220408500,1507084,11220408500.0,1507084.0
13,지구대표 롤링스타즈,Rolling Stars: The Greatest Space Baseball Competition,2010,한국,애니메이션,주연-탱고역(목소리),230047000,35578,230047000.0,35578.0
14,파괴된 사나이,Man Of Vendetta,2010,한국,"드라마,스릴러",조연-구 반장역,7820538614,1030285,7692092100.0,1012310.0
15,식객2 : 김치전쟁,Le Grand Chef 2: Kimchi Battle,2009,한국,드라마,조연-조동희역,3298814209,471103,3243969500.0,462714.0
16,부산,City Of Fathers,2009,한국,"액션,드라마",단역-권 박사역,1185994280,160741,1172970000.0,158943.0
17,눈에는 눈 이에는 이,Eye For An Eye,2008,한국,"범죄,스릴러,액션",조연-안토니오역,13414023500,2058764,13410811500.0,2058616.0
18,복면달호,Highway Star,2007,한국,"코미디,드라마",조연-나태송역,0,1611192,9008143000.0,1507970.0
19,구타유발자들,A Bloody Aria,2006,한국,"코미디,범죄",주연-영선역,0,164606,934380300.0,143061.0
20,친절한 금자씨,Sympathy For Lady Vengeance,2005,한국,스릴러,단역-동화역,0,3650000,20491973593.0,3120784.0
21,무궁화꽃이 피었습니다,Mugoonghwa-Korean National Flower,1995,한국,드라마,단역-안기부 요원 2역,0,70735,,
22,네온 속으로 노을지다,Sunset Into The Neon Lights,1995,한국,드라마,조연,0,42285,186000.0,34.0
23,영원한 제국,Eternal Empire,1995,한국,"미스터리,사극",단역-포도대장역,0,46767,1768000.0,884.0
