,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,그것만이 내 세상,Keys to the Heart,2017,한국,"코미디,드라마",주연,27444801382.0,3418091.0,27446297382.0,3418392.0
1,남한산성,The Fortress,2017,한국,"사극,드라마",주연,31225083792.0,3849087.0,31225419792.0,3849129.0
2,싱글라이더,A Single Rider,2016,한국,드라마,주연-재훈역,2685519021.0,351276.0,2685519021.0,351276.0
3,마스터,Master,2016,한국,"액션,범죄",주연-진회장역,58067927865.0,7150541.0,58068236865.0,7150586.0
4,매그니피센트 7,The Magnificent Seven,2016,미국,"액션,서부극(웨스턴)",주연,7633490421.0,921317.0,7633490421.0,921317.0
5,미스컨덕트,Misconduct,2015,미국,"범죄,스릴러",주연,1133511038.0,148512.0,1138175038.0,149095.0
6,내부자들: 디 오리지널,Inside Men: The Original,2015,한국,"범죄,드라마",주연,16973885275.0,2083999.0,16979714975.0,2084868.0
7,내부자들,Inside Men,2015,한국,"범죄,드라마",주연-안상구역,56598130057.0,7072021.0,56599221057.0,7072507.0
8,"협녀, 칼의 기억",Memories of the Sword,2015,한국,"사극,액션",주연-유백역,3360045489.0,431310.0,3360045489.0,431310.0
9,터미네이터 제니시스,Terminator Genisys,2015,미국,"액션,어드벤처,SF,스릴러",주연,26556715129.0,3240370.0,26556715129.0,3240370.0
10,레드: 더 레전드,RED2,2012,미국,"액션,코미디,범죄",주연-한역,21511358970.0,3004647.0,21511371970.0,3004649.0
11,지.아이.조 2,G.I. Joe 2: Retaliation,2012,"미국,캐나다","액션,어드벤처,SF",주연-스톰 쉐도우역,14457048500.0,1855917.0,14457048500.0,1855917.0
12,"광해, 왕이 된 남자",Masquerade,2012,한국,"사극,드라마",주연-광해/하선역,88900208769.0,12319542.0,88909386769.0,12323595.0
13,쉐어 더 비전,Share the Vision,2011,한국,드라마,주연-현민역,,,,
14,인플루언스,The Influence,2010,한국,드라마,주연-W역,1529006.0,229610.0,1505000.0,201.0
15,악마를 보았다,I Saw The Devil,2010,한국,스릴러,주연-수현역,14148937025.0,1848418.0,13919462500.0,1817069.0
16,아이리스 더 무비,Iris : The Movie,2010,한국,액션,주연-김현준역,,,,
17,악마를 보았다 감독판,I Saw The Devil: Director's Edition,2010,한국,스릴러,주연-수현역,,,,
18,지.아이.조 : 전쟁의 서막,G.I. Joe: The Rise of Cobra,2009,미국,액션,주연-스톰 쉐도우 역,19889126096.0,2706748.0,19583593500.0,2665886.0
19,나는 비와 함께 간다,I Come With The Rain,2008,프랑스,"범죄,스릴러,액션",주연-수동포역,1641619990.0,215362.0,1616241000.0,212088.0
20,"좋은 놈, 나쁜 놈, 이상한 놈","The Good, The Bad, And The Weird",2008,한국,"서부극(웨스턴),액션,어드벤처","주연-나쁜 놈, 박창이역",43768628939.0,6686912.0,43755789000.0,6686054.0
21,"좋은 놈, 나쁜 놈, 이상한 놈(칸버전)","The Good, the Bad, and the Weird(Cannes Version)",2008,"한국,중국,홍콩","서부극(웨스턴),액션,어드벤처",주연,,,228000.0,37.0
22,그해 여름,Once in a Summer,2006,한국,"멜로/로맨스,드라마",주연,0.0,336065.0,1744090200.0,290564.0
23,달콤한 인생,A Bittersweet Life,2004,한국,액션,주연-선우역,0.0,1271595.0,7235539100.0,1112950.0
24,쓰리 몬스터,Three… Extremes,2004,"한국,홍콩,일본",공포(호러),주연,0.0,281540.0,1161290500.0,180377.0
25,누구나 비밀은 있다,Everybody Has Secrets,2004,한국,"코미디,멜로/로맨스",주연,0.0,896000.0,3529353500.0,542955.0
26,"쓰리, 몬스터 '컷'",cut,2004,한국,기타,주연,,,144000.0,144.0
27,중독,Addicted,2002,한국,"멜로/로맨스,드라마",주연,,346453.0,,
28,마리이야기,"My Beautiful Girl, Mari",2001,한국,애니메이션,주연-어른 남우 목소리역(목소리),,54404.0,102000.0,22.0
29,번지점프를 하다,Bungee Jumping Of Their Own,2001,한국,"드라마,판타지",주연,0.0,506529.0,32760000.0,4089.0
30,공동경비구역 JSA,Joint Security Area /JSA,2000,한국,"드라마,미스터리",주연,0.0,2513540.0,8924700.0,1179.0
31,내 마음의 풍금,The Harmonium In My Memory,1998,한국,"멜로/로맨스,드라마",주연-수하 역역,0.0,148494.0,3471000.0,1417.0
32,지상만가,Lament,1997,한국,"멜로/로맨스,액션",주연,0.0,33587.0,,
33,그들만의 세상,Kill The Love,1996,한국,"멜로/로맨스,드라마",주연,0.0,50544.0,,
34,아마게돈,Armagedoon,1996,한국,"애니메이션,액션",주연,0.0,67513.0,,
35,런어웨이,Run Away,1995,한국,액션,주연,0.0,72274.0,,
36,누가 나를 미치게 하는가,Who Makes Me Crazy,1995,한국,코미디,주연,0.0,103768.0,,
