,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,엄마의 공책,Notebook from My Mother,2017,한국,"드라마,가족",주연-애란역,59882500.0,8697,63276500.0,9342.0
1,부산행,TRAIN TO BUSAN,2016,한국,"액션,스릴러",단역-석우 모역,93178283048.0,11565479,93182579048.0,11566862.0
2,글로리데이,One Way Trip,2015,한국,드라마,조연-상우할머니역,1486835668.0,189345,1487225668.0,189405.0
3,퇴마: 무녀굴,The Chosen: Forbidden Cave,2015,한국,"공포(호러),스릴러",조연-돌순어멍역,951843500.0,120802,951843500.0,120802.0
4,약장수,Clown of a Salesman,2015,한국,드라마,주연-옥님역,313238400.0,43562,314552400.0,44216.0
5,왓니껴,Welcome,2013,한국,드라마,조연-혜숙 모역,5622000.0,898,5622000.0,898.0
6,명량,Roaring Currents,2013,한국,"사극,액션",조연-종선할매역,135748398910.0,17613682,135754920310.0,17615314.0
7,결혼전야,Marriage Blue,2013,한국,"멜로/로맨스,코미디",단역-김석동 부인역,8444337719.0,1214836,8444355719.0,1214839.0
8,동창생,Commitment,2013,한국,"액션,드라마",조연-황정숙역,7010197126.0,1048280,7010197126.0,1048280.0
9,타워,The Tower,2012,한국,드라마,조연-정여사역,37654858000.0,5181014,37654858000.0,5181014.0
10,코리아,As One,2011,한국,드라마,조연-김할머니역,13448848500.0,1872681,13448857500.0,1872682.0
11,불꽃처럼 나비처럼,The Sword With No Name,2009,한국,"멜로/로맨스,사극",단역-자영 모역,12447633504.0,1690294,12302961500.0,1670652.0
12,순정만화,Crush On You,2008,한국,"멜로/로맨스,코미디",조연-세탁소 모역,4674779333.0,730343,4682641000.0,731706.0
13,서양 골동 양과자점 앤티크,Antique,2008,한국,드라마,조연-진혁 할머니역,7367880833.0,1173310,7420479500.0,1181332.0
14,아내가 결혼했다,My Wife Got Married,2008,한국,"멜로/로맨스,드라마",조연,11995855000.0,1788748,12062180000.0,1799447.0
15,님은 먼 곳에,Sunny,2008,"한국,태국","드라마,전쟁",조연-시어머니역,11211235000.0,1706576,11206382000.0,1706495.0
16,식객,Le Grand Chef,2007,한국,드라마,조연-성일 모역,0.0,3038868,18984549500.0,2965359.0
17,펀치레이디,Punch lady,2007,한국,"드라마,코미디",조연-하은 모역,0.0,38254,243405000.0,37518.0
18,검은 집,Black House,2007,한국,"스릴러,미스터리,공포(호러)",단역-여교감역,0.0,1408882,8842295700.0,1322196.0
19,누가 그녀와 잤을까?,Hot For Teacher,2006,한국,코미디,단역-교장 수녀역,0.0,434877,2068632100.0,353360.0
20,짝패,The City Of Violence,2006,한국,액션,조연-석환 모역,0.0,1196520,6585376300.0,1021638.0
21,야수,Running Wild,2005,한국,액션,조연-도영 모역,0.0,1016152,5339725500.0,837011.0
22,사랑니,Blossom Again,2005,한국,멜로/로맨스,단역-인영 어머니역,0.0,165538,868902000.0,135702.0
23,페이스,Face,2004,한국,공포(호러),단역-현민 모역,0.0,474000,1534151500.0,238950.0
24,고독이 몸부림칠 때,Dance With Solitude,2003,한국,코미디,주연,0.0,34349,68938500.0,10745.0
25,4인용 식탁,The Uninvited,2003,한국,"공포(호러),미스터리,스릴러",단역-송 여사역,,717494,38000.0,8.0
26,굳세어라 금순아,Saving My Hubby,2002,한국,"코미디,드라마",단역-금순 시어머니역,,37981,,
27,"결혼은, 미친짓이다",Marriage Is a Crazy Thing,2002,한국,"드라마,멜로/로맨스",단역-어머니역,,422939,,
28,아름다운 청년 전태일,A Single Spark,1995,한국,드라마,단역-태일 어머니역,0.0,235935,118000.0,21.0
29,이혼하지 않은 여자,The Woman Who Want Divorce,1992,한국,"드라마,멜로/로맨스",단역,0.0,30297,,
