,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,장산범,The Mimic,2017,한국,"미스터리,스릴러",단역-지혜역,10341783083.0,1306438.0,10341783083.0,1306438.0
1,새들이 돌아오는 시간,Birds fly back to the nest,2016,한국,"드라마,멜로/로맨스",주연-혜영역,,,,
2,파란입이 달린 얼굴,A Blue Mouthed Face,2015,한국,드라마,주연,7091200.0,1095.0,9111200.0,1484.0
3,태양의 아들,Man of Merit,2015,한국,"가족,코미디,드라마",조연-박지영역,,,,
4,내 심장을 쏴라,Shoot Me in the Heart,2014,한국,드라마,단역-ECT간호사역,2856859132.0,387409.0,2856859132.0,387409.0
5,카트,Cart,2014,한국,드라마,단역-계산원18역,5926917433.0,814233.0,5929106933.0,814570.0
6,결혼전야,A night before the wedding,2014,한국,드라마,단역-극장 & 보닛 커플역,,,,
7,발광하는 현대사,Balkwang,2014,한국,애니메이션,조연-영희 목소리역(목소리),,,783000.0,108.0
8,소수의견,The Unfair,2013,한국,드라마,단역-이판수 가족역,2891431205.0,383332.0,2892681205.0,383582.0
9,10분,10 Minutes,2013,한국,드라마,조연-한영미역,24850400.0,3253.0,25898400.0,3428.0
10,변호인,The Attorney,2013,한국,드라마,단역-야학생2역,82871759300.0,11374610.0,82872378788.0,11374879.0
11,사이비,The Fake,2013,한국,"애니메이션,스릴러",단역-카페마담 / 영선친구3 / 마을주민역(목소리),164274900.0,22070.0,167123900.0,22526.0
12,벌거숭이,A Mere Life,2012,한국,"범죄,드라마",주연,3163000.0,495.0,3283000.0,515.0
13,코리아,As One,2011,한국,드라마,조연-왕밍역,13448848500.0,1872681.0,13448857500.0,1872682.0
14,방독피,Anti Gas Skin,2010,한국,"미스터리,스릴러",주연,3305000.0,529.0,4003000.0,647.0
15,"혜화, 동",Re-encounter,2010,한국,드라마,단역-신생아실 간호사역,83116600.0,11079.0,88747400.0,11880.0
16,원 나잇 스탠드,One Night Stand,2009,한국,드라마,주연,11379871.0,1689.0,14586800.0,2124.0
17,귀향,A Blind River,2009,한국,"드라마,판타지",단역-간호사역,1182991.0,196.0,1352000.0,285.0
18,요가학원,Yoga,2009,한국,공포(호러),단역-안내데스크역,1947834107.0,271514.0,1927358500.0,268627.0
19,고갈,Exhausted,2008,한국,"드라마,범죄",주연,6594924.0,1019.0,6635500.0,1025.0
