,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,수춘도 2: 수라전장,BROTHERHOOD OF BLADES ll THE INFERNAL BATTLEFIELD,2017,중국,"액션,드라마",주연,845000.0,191.0,845000.0,191.0
1,자객 섭은낭,The Assassin,2015,대만,"사극,액션",주연,122054700.0,15747.0,122089700.0,15754.0
2,적도,Helios,2015,홍콩,액션,주연,27026500.0,3679.0,27427500.0,3778.0
3,살파랑2: 운명의 시간,SPL 2: A Time for Consequences,2015,중국,"액션,범죄",주연,,,,
4,세가지 색 - 삼생,Three Charmed Lives,2014,"중국,한국,대만",기타,감독,,,,
5,수춘도,Brotherhood of Blades,2014,중국,"액션,멜로/로맨스",주연,,,,
6,일대종사,The Grandmaster,2012,중국,"액션,드라마",주연-일선천역,734730000.0,101592.0,734980000.0,101642.0
7,초한지: 영웅의 부활,The Last Supper,2012,중국,"액션,사극",주연,60679500.0,8722.0,60679500.0,8722.0
8,건당위업,Beginning of the Great Revival,2011,중국,드라마,주연,,,469500.0,60.0
9,적벽대전 2 : 최후의 결전,Red Cliff 2,2008,중국,"액션,전쟁,드라마,사극",주연,17910684413.0,2713031.0,17782372500.0,2694436.0
10,적벽대전:거대한 전쟁의 시작,Red Cliff,2008,중국,"액션,드라마,전쟁",주연-손권역,10218959760.0,1573621.0,10200428000.0,1572064.0
11,노면주차,Parking,2008,대만,드라마,주연,,,,
12,미싱 : 심해미인,Missing,2008,"홍콩,중국","판타지,멜로/로맨스,공포(호러)",주연,,,305000.0,36.0
13,숨,Breath,2007,한국,드라마,주연,0.0,12293.0,49704800.0,7592.0
14,천당구,Blood Brothers,2007,"홍콩,대만,중국","액션,스릴러",주연,,,,
15,기성 오청원,The Go Master,2006,중국,드라마,주연,,,,
16,실크,Silk,2006,대만,"SF,공포(호러),스릴러",주연,,,,
17,쓰리 타임즈,Three Times,2005,대만,드라마,주연,0.0,5162.0,36889000.0,5406.0
18,에로스,Eros,2004,"미국,프랑스,이탈리아,중국,룩셈부르크,영국","드라마,멜로/로맨스",주연,0.0,30389.0,189042500.0,28827.0
19,2046,2046,2004,홍콩,드라마,주연,0.0,149700.0,797104500.0,123062.0
20,천하무쌍,Chinese Odyssey 2002,2002,홍콩,"코미디,멜로/로맨스,액션",주연,,,,
21,아름다운 빈랑나무,Betelnut Beauty,2001,"대만,프랑스","드라마,멜로/로맨스",주연,,,,
22,와호장룡,"Crouching Tiger, Hidden Dragon",2000,중국,"사극,액션",주연-마적단 두목 호역,0.0,237234.0,0.0,0.0
23,부에노스 아이레스 제로 디그리,Buenos Aires Zero Degree,2000,홍콩,"다큐멘터리,드라마",주연,,,,
24,고령가 소년 살인사건,A Brighter Summer Day,1991,대만,드라마,주연-시아오역,116213500.0,8747.0,124904500.0,9320.0
