,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,배반의 장미,,2018,한국,코미디,주연,,,,
1,게이트-완결판,,2018,한국,"범죄,코미디",주연,1348000.0,1339.0,1348000.0,1339.0
2,두번 할까요?(가제),,2018,한국,"멜로/로맨스,코미디",주연,,,,
3,게이트,Gate,2017,한국,"범죄,코미디",주연,820756100.0,101173.0,821041100.0,101266.0
4,흥부: 글로 세상을 바꾼 자,Heung-boo: The Revolutionist,2017,한국,사극,조연,3381302200.0,416346.0,3381050200.0,416303.0
5,로마의 휴일,,2017,한국,"코미디,드라마",주연,993321176.0,134827.0,993321176.0,134827.0
6,덕혜옹주,The Last Princess,2016,한국,"사극,드라마",조연-복동역,44393828109.0,5599229.0,44395967609.0,5599665.0
7,결정적 한방,Sunday Punch,2011,한국,"코미디,드라마",조연-인식역,439400000.0,60944.0,439400000.0,60944.0
8,목포는 항구다,"Mokpo, Gangster’s Paradise",2003,한국,"드라마,코미디",조연-쭈꾸미역,0.0,1795700.0,2673832500.0,425725.0
9,영어완전정복,Please Teach Me English,2003,한국,"드라마,코미디",조연-영주 동생역,0.0,917782.0,,
10,화산고,Volcano High,2001,한국,"액션,코미디,판타지",조연-골뱅이역,0.0,586576.0,,
