,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아기배달부 스토크,STORKS,2016,미국,애니메이션,주연,2444112200.0,323730.0,2444112200.0,323730.0
1,케이크,Cake,2014,미국,드라마,주연-클레어 시몬스 역역,,,,
2,위 아 더 밀러스,We're the Millers,2013,미국,코미디,주연-로즈 역역,,,,
3,원더러스트,Wanderlust,2012,미국,코미디,주연-린다 역,,,,
4,스트레스를 부르는 그 이름 직장상사,Horrible Bosses,2011,미국,코미디,주연-줄리아 역,404070500.0,51646.0,404070500.0,51646.0
5,마이 프리텐드 와이프,Just Go with It,2011,미국,"멜로/로맨스,코미디",주연-캐서린역,,,,
6,스위치,The Switch,2010,미국,"멜로/로맨스,코미디",주연-캐시 라슨역,564596900.0,83346.0,558483500.0,82503.0
7,바운티 헌터,The Bounty Hunter,2010,미국,"멜로/로맨스,코미디",주연,459904690.0,60376.0,453911000.0,59581.0
8,그는 당신에게 반하지 않았다,He's Just Not That Into You,2009,미국,"멜로/로맨스,코미디",주연-베스역,6471531867.0,949324.0,6375549000.0,935168.0
9,러브 매니지먼트,Management,2008,미국,"멜로/로맨스,코미디",주연,79627703.0,10393.0,78090500.0,10230.0
10,말리와 나,Marley & Me,2008,미국,"드라마,코미디,멜로/로맨스,가족",주연-제니퍼역,1437267652.0,213500.0,1415054000.0,210270.0
11,브레이크 업 : 이별후애(愛),The Break-Up,2006,미국,"코미디,멜로/로맨스",주연,0.0,241676.0,1422274000.0,225195.0
12,돈많은 친구들,Friends With Money,2006,미국,"코미디,드라마",주연-올리비아 역,0.0,7250.0,49763000.0,7253.0
13,그녀가 모르는 그녀에 관한 소문,Rumor Has It...,2005,"미국,호주","코미디,멜로/로맨스",주연,,,,
14,디레일드,Derailed,2005,미국,"드라마,스릴러",주연,,,,
15,폴리와 함께,Along Came Polly,2004,미국,멜로/로맨스,주연,0.0,170000.0,252615500.0,37807.0
16,브루스 올마이티,Bruce Almighty,2003,미국,"코미디,판타지",주연,0.0,1182962.0,,
17,굿 걸,The Good Girl,2002,"미국,독일,네덜란드","드라마,멜로/로맨스",주연,,,,
18,록 스타,Rock Star,2001,미국,"코미디,드라마",주연,,,,
19,"뛰는 백수, 나는 건달",Office Space,1999,미국,코미디,주연,,,,
20,아이언 자이언트,The Iron Giant,1999,미국,"애니메이션,SF,가족",주연-애니역(목소리),,,807000.0,117.0
21,내가 사랑한 사람,The Object Of My Affection,1998,미국,"코미디,드라마,멜로/로맨스",주연,,,,
22,잠들수 없는 밤,Dream For An Insomniac,1998,미국,"멜로/로맨스,코미디",주연,,,,
23,그녀를 위하여,She's the One,1996,미국,"코미디,멜로/로맨스",주연,,,,
24,레프리콘,Leprechaun,1993,미국,"공포(호러),코미디",주연,0.0,4221.0,,
