,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,메카닉: 리크루트,Mechanic: Resurrection,2016,"미국,프랑스","액션,범죄,스릴러",주연-지나역,4458200800.0,551897.0,4458200800.0,551897.0
1,영국 남자처럼 사랑하는 법,HOW TO MAKE LOVE LIKE AN ENGLISHMAN,2015,미국,"코미디,멜로/로맨스",주연-케이트 역역,,,,
2,킬러 인 하이스쿨,Barely Lethal,2015,미국,"액션,어드벤처,코미디",주연,,,,
3,씬 시티: 다크히어로의 부활,Sin City: A dame to kill for,2013,미국,"액션,범죄,스릴러",주연,656718748.0,83182.0,656718748.0,83182.0
4,슈퍼노바 지구 탈출기,Escape from Planet Earth,2013,"미국,캐나다","애니메이션,어드벤처,코미디,가족,SF",주연(목소리),245845000.0,37547.0,245845000.0,37547.0
5,마세티 킬즈,Machete Kills,2013,미국,"코미디,액션,스릴러,범죄",주연-사타나역,17977500.0,5115.0,17977500.0,5115.0
6,A.C.O.D.,A.C.O.D.,2013,미국,코미디,주연-미첼 역역,,,,
7,스파이키드4 : 올더타임인더월드,Spy Kids: All the Time in the World,2011,미국,"액션,어드벤처,코미디",주연-마리사 윌슨역,1004000.0,152.0,1004000.0,152.0
8,마셰티,Machete,2010,미국,액션,주연-사타나역,27981000.0,3702.0,27981000.0,3702.0
9,킬러 인사이드 미,The Killer Inside Me,2010,미국,"범죄,드라마,스릴러",주연-조이스역,391822268.0,51555.0,385670500.0,50734.0
10,인비저블 사인,An Invisible Sign,2010,미국,드라마,주연,,,,
11,발렌타인 데이,Valentine'S Day,2009,미국,"멜로/로맨스,코미디",주연,1337699931.0,172997.0,1314085500.0,169529.0
12,디 아이,The Eye,2008,미국,"공포(호러),드라마,스릴러",주연,542600500.0,85559.0,542600500.0,84362.0
13,굿바이 초콜릿,Meet Bill,2007,미국,"코미디,드라마",주연-루시역,2462796.0,311.0,2426000.0,306.0
14,어웨이크,Awake,2007,미국,"스릴러,드라마",주연-샘 락우드역,3266005333.0,502807.0,3265249000.0,498720.0
15,굿 럭 척,Good Luck Chuck,2007,미국,"멜로/로맨스,코미디",주연-캠역,8028000.0,1614.0,8028000.0,1102.0
16,판타스틱 4: 실버 서퍼의 위협,Fantastic Four: Rise Of The Silver Surfer,2007,미국,"SF,액션,어드벤처",주연,0.0,631990.0,3682710500.0,576690.0
17,더 텐,The Ten,2007,미국,코미디,주연,,,,
18,러브 구루,The Love Guru,2007,미국,"코미디,멜로/로맨스",주연,,,,
19,블루스톰,Into The Blue,2005,미국,액션,주연,0.0,30600.0,158791000.0,24729.0
20,판타스틱4,Fantastic Four,2005,미국,"액션,SF,판타지",주연,0.0,757900.0,3522174000.0,564263.0
21,씬 시티,Sin City,2005,미국,"범죄,스릴러,액션",주연,0.0,356183.0,2024599506.0,311066.0
22,허니,Honey,2003,미국,드라마,주연,0.0,100000.0,179520000.0,27330.0
23,슬리핑 딕셔너리,The Sleeping Dictionary,2002,미국,"멜로/로맨스,드라마",주연,,,,
24,파라노이드,Paranoid,2000,영국,스릴러,주연-크로 역,,,,
25,제임스 카메론의 다크 엔젤,Dark Angel,2000,미국,"드라마,SF,액션,범죄",주연,,,,
26,제임스 카메론의 다크 엔젤 : 로스트 헤븐,"Dark Angel Season 1 X eps 13, 14",2000,미국,"드라마,SF,액션,범죄",주연,,,,
27,제임스 카메론의 다크 엔젤 : 붉은 추적자,"Dark Angel Season 1 X eps 9, 10",2000,미국,"드라마,SF,액션,범죄",주연,,,,
28,제임스 카메론의 다크 엔젤 : 천사의 눈물,"Dark Angel Season 1 X eps 11, 12",2000,미국,"드라마,SF,액션,범죄",주연,,,,
29,제임스 카메론의 다크 엔젤 : 킬링코드,"Dark Angel Season 1 X eps 15, 16",2000,미국,"드라마,SF,액션,범죄",주연,,,,
