,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,메가로돈,The Meg,2018,미국,"액션,공포(호러),SF",주연,,,1396481900.0,160334.0
1,분노의 질주: 더 익스트림,Fast and Furious 8,2017,"미국,일본,프랑스,캐나다","액션,범죄,스릴러",주연,29981156348.0,3653238.0,29981156348.0,3653238.0
2,메카닉: 리크루트,Mechanic: Resurrection,2016,"미국,프랑스","액션,범죄,스릴러",주연-비숍역,4458200800.0,551897.0,4458200800.0,551897.0
3,스파이,Spy,2015,미국,"액션,코미디",주연,18417637358.0,2318748.0,18417637358.0,2318748.0
4,분노의 질주: 더 세븐,Fast & Furious 7,2015,미국,"액션,범죄,스릴러",주연,26454098694.0,3247955.0,26466421694.0,3248904.0
5,와일드 카드,Wild Card,2014,미국,"범죄,액션",주연,23712000.0,3109.0,23712000.0,3109.0
6,익스펜더블 3,The Expendables 3,2014,미국,"액션,어드벤처,스릴러",주연,1158358800.0,152025.0,1158398800.0,152033.0
7,파커,Parker,2013,미국,"범죄,액션",주연,52015000.0,6828.0,52015000.0,6828.0
8,홈프론트-하드액션,Homefront,2013,미국,"액션,범죄,스릴러",주연,11016000.0,1598.0,11016000.0,1598.0
9,홈프론트-가족을 지켜라,Homefront,2013,미국,"액션,드라마",주연,23849000.0,3464.0,23849000.0,3464.0
10,허밍버드,Hummingbird,2013,영국,"범죄,드라마,액션",주연-조이역,,,,
11,익스펜더블 2,The Expendables II,2012,미국,"액션,어드벤처",주연,3208867228.0,444434.0,3209043228.0,444456.0
12,세이프,Safe,2012,미국,"액션,범죄,스릴러",주연,,,,
13,익스트림 No.13,13,2011,미국,스릴러,주연-재스퍼역,88072516.0,12408.0,88072516.0,12408.0
14,블리츠,Blitz,2011,영국,"스릴러,드라마",주연,498734500.0,65629.0,498734500.0,65629.0
15,킬러 엘리트,Killer Elite,2011,미국,"스릴러,액션",주연-데니 역,1249754000.0,165123.0,1249754000.0,165123.0
16,익스트림 No.13 감독판,13,2010,미국,"스릴러,액션",주연,600000.0,40.0,600000.0,40.0
17,메카닉,The Mechanic,2010,미국,"드라마,액션,스릴러",주연,1666463000.0,217077.0,1666463000.0,217077.0
18,익스펜더블,The Expendables,2010,미국,"스릴러,액션",주연,3025538174.0,398097.0,2973383000.0,390458.0
19,아드레날린24 2,Crank: High Voltage,2009,미국,"액션,스릴러",주연,,,,
20,트랜스포터-라스트 미션,Transporter 3,2008,프랑스,액션,주연,6336730334.0,951855.0,6244302000.0,937224.0
21,뱅크 잡,The Bank Job,2008,영국,"범죄,스릴러",주연,3578915667.0,553159.0,3601981500.0,557063.0
22,데스 레이스,Death Race,2008,미국,"SF,액션,어드벤처",주연,1044019000.0,156983.0,1056720000.0,159170.0
23,뱅크잡 무삭제 특별판,The Bank Job,2008,"영국,미국,호주","액션,범죄",주연,,,,
24,워,War,2007,미국,"스릴러,액션",주연-잭 크로포드역,342294500.0,52787.0,341594500.0,52268.0
25,아드레날린24,Crank,2006,미국,액션,주연,0.0,99914.0,648390000.0,96338.0
26,왕의 이름으로,In The Name Of The King: A Dungeon Siege Tale,2006,"독일,캐나다,미국","액션,어드벤처,판타지",주연,,,,
27,카오스,Chaos,2005,"영국,미국,캐나다","액션,드라마,범죄,스릴러",주연-쿠엔틴 코너스역,1377938904.0,208094.0,1355277000.0,204693.0
28,트랜스포터 엑스트림,Transporter2,2005,미국,액션,주연,0.0,110500.0,572707000.0,89988.0
29,런던,London,2005,"영국,미국","드라마,멜로/로맨스",주연,,,,
30,리볼버,Revolver,2005,"프랑스,영국","범죄,드라마",주연,,,,
31,트랜스포터,The Transporter,2002,미국,"액션,범죄",주연,0.0,100000.0,,
32,비트 보이스,Turn It Up,2000,미국,"범죄,드라마,액션",주연,,,,
