,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,컨파인스,The Confines,2015,미국,스릴러,주연,100000.0,20.0,100000.0,20.0
1,아웃사이더,The Outsider,2013,미국,"액션,범죄",주연,18555000.0,3711.0,18555000.0,3711.0
2,마이 시스터즈 키퍼,My Sisters Keeper,2009,미국,드라마,주연-브라이언 피츠제럴드 역,872715162.0,120952.0,857395500.0,118939.0
3,다운로딩 낸시,Downloading Nancy,2008,미국,"드라마,스릴러",주연,,,,
4,알라모,The Alamo,2004,미국,"서부극(웨스턴),드라마,전쟁",주연,,,,
5,나크,NARC,2002,미국,"범죄,액션",주연,0.0,78156.0,24000.0,6.0
6,스피드 2,Speed 2 : Cruise Control,1997,미국,"액션,스릴러",주연,0.0,250819.0,,
7,인코그니토,Incognito,1996,미국,"스릴러,범죄",주연,0.0,1536.0,,
8,어거스트킹,The Journey Of August King,1996,미국,드라마,주연,0.0,1581.0,,
9,슬리퍼스,Sleepers,1996,미국,"드라마,범죄,스릴러",주연-로렌조 쉐익스 카카테라역,0.0,181907.0,,
10,제로니모,Geronimo,1993,미국,"서부극(웨스턴),액션",주연,0.0,3456.0,203000.0,77.0
11,러쉬,Rush,1991,미국,"범죄,드라마",주연,,,,
