,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,Elena and the Secret of Avalor,2016,미국,"애니메이션,어드벤처,가족,판타지,뮤지컬",주연-슈리키역(목소리),317454000.0,45484.0,317454000.0,45484.0
1,유스,Youth,2015,"이탈리아,프랑스,스위스,영국",드라마,주연,675198600.0,86756.0,677152600.0,86984.0
2,조지아 룰,Georgia Rule,2007,미국,"코미디,멜로/로맨스",주연,,,,
3,퍼펙트 웨딩(몬스터 인 로),Monster-In-Law,2005,미국,코미디,주연,0.0,120910.0,695278500.0,109414.0
4,스탠리와 아이리스,Stanley & Iris,1990,미국,"드라마,멜로/로맨스",주연-아이리스 역역,,,,
5,신의 아그네스,Agnes Of God,1985,미국,"드라마,미스터리",주연,0.0,143573.0,,
6,황금연못,On Golden Pond,1981,미국,드라마,주연,,,1557000.0,328.0
7,나인 투 화이브,Nine To Five,1980,미국,"드라마,코미디",주연,0.0,97174.0,,
8,귀향,Coming Home,1978,미국,"드라마,전쟁",주연-샐리 역역,,,,
9,줄리아,Julia,1977,미국,드라마,주연-릴리안 헬먼역,,,1021000.0,251.0
10,그들은 말을 쏘았다,"They Shoot Horses, Don't They?",1969,미국,드라마,주연,,,,
11,귀향,Hurry Sundown,1967,미국,드라마,주연,0.0,19444.0,,
12,체이스,The Chase,1966,미국,드라마,주연,,,,
13,캣 벌루,Cat Ballou,1965,미국,"서부극(웨스턴),코미디",주연-캣 벌루 역역,,,98000.0,49.0
