,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,캐리비안의 해적: 죽은 자는 말이 없다,Pirates of the Caribbean: Dead Men Tell No,2017,미국,"액션,어드벤처,판타지,코미디",조연,24975495122.0,3049894.0,24975495122.0,3049894.0
1,파이널 포트레이트,Final Portrait,2017,영국,드라마,주연,,,,
2,나의 딸,The Daughter,2015,호주,드라마,주연,6113200.0,953.0,6113200.0,953.0
3,베스트 오퍼,The Best Offer,2013,이탈리아,"미스터리,멜로/로맨스",주연,366911700.0,47990.0,367139700.0,48033.0
4,아이 오브 더 스톰,The Eye of the Storm,2011,호주,드라마,주연,28069000.0,4101.0,28069000.0,4101.0
5,킹스 스피치,The King's Speech,2010,"영국,호주",드라마,주연-라이오넬 로그 역,5963126500.0,806248.0,5969823800.0,808908.0
6,워리어스 웨이,Warrior's Way,2010,미국,"액션,판타지",주연-론역,3134328730.0,437101.0,3097461500.0,432072.0
7,캔디,Candy,2006,호주,"드라마,멜로/로맨스",주연-캐스퍼역,30236188.0,4474.0,32029500.0,4760.0
8,피터 셀러스의 삶과 죽음,The Life And Death Of Peter Sellers,2004,"미국,영국",드라마,주연,,,,
9,네드 켈리,Ned Kelly,2003,호주,드라마,조연,0.0,3000.0,8074500.0,1270.0
10,캐리비안의 해적 : 블랙펄의 저주,Pirates of the Caribbean: The Curse of the Black Pearl,2003,미국,"어드벤처,액션,코미디",주연,0.0,2010460.0,0.0,0.0
11,더 높은 곳을 향하여,Swimming Upstream,2003,호주,드라마,주연,,,,
12,테일러 오브 파나마,Tailor Of Panama,2001,미국,"드라마,스릴러",주연,0.0,17776.0,758000.0,137.0
13,란타나,Lantana,2001,"호주,독일","드라마,미스터리",주연,,,,
14,퀼스,Quills,2000,"미국,독일,영국","드라마,멜로/로맨스",주연,0.0,34147.0,273000.0,100.0
15,마술 푸딩,The Magic Pudding,2000,호주,애니메이션,주연(목소리),,,,
16,헌티드 힐,House On Haunted Hill,1999,미국,"공포(호러),스릴러",주연-스티븐 H. 프라이스역,0.0,238653.0,,
17,엘리자베스,Elizabeth,1998,미국,"드라마,사극",주연,0.0,43508.0,,
18,세익스피어 인 러브,Shakespeare In Love,1998,"영국,미국","드라마,멜로/로맨스",주연,0.0,502079.0,237000.0,85.0
19,레미제라블,Les Miserables,1997,미국,"드라마,범죄",주연,0.0,5383.0,610000.0,238.0
20,샤인,Shine,1996,호주,드라마,주연,0.0,151895.0,127776200.0,16926.0
